Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5
UID_34_19_14_all-4,-135.307,41.7109,-3.84466,-29.1895,15.6919
UID_34_19_15_all-9,-147.713,-7.08664,-7.81101,-3.52743,-19.9725
UID_34_19_16_all-19,210.33,137.649,208.957,38.4363,35.7396
UID_34_19_1_all-8,-13.6384,127.672,-9.6024,0.410756,-5.28481
UID_34_19_2_all-19,-84.0693,81.8591,5.80875,-24.9103,7.58448
UID_34_19_3_all-10,-25.9031,123.516,-0.169834,4.09218,-15.1378
UID_34_19_4_all-16,593.404,53.215,241.434,93.7952,110.267
UID_34_19_5_all-16,-98.4927,70.523,-4.43477,-19.1039,11.1926
UID_34_19_6_all-6,-87.167,75.8042,-1.06284,-6.14409,-3.84161
UID_34_19_7_all-12,419.92,137.251,243.051,-28.1916,-156.813
UID_34_19_8_all-18,-247.499,-144.048,-34.7487,6.7904,-19.873
UID_34_19_9_all-29,-248.515,-89.8982,-18.9043,-15.9639,13.6158
UID_34_1_1_all-13,755.688,-24.6079,112.613,-53.465,-19.2435
UID_34_1_2_all-16,-95.1157,61.508,-10.2535,-4.85371,-8.8512
UID_34_1_3_all-14,696.441,-305.677,-44.0042,-22.5677,-161.987
UID_34_1_4_all-19,457.699,66.8847,312.615,-182.74,-89.6158
UID_34_1_5_all-15,740.466,-148.495,-69.6248,-91.1329,13.0736
UID_34_1_6_all-12,27.6668,176.332,-7.6022,-11.04,0.447751
UID_34_20_1_all-8,639.417,-66.0836,-42.6617,10.5642,-177.432
UID_34_20_2_all,464.666,599.056,8.19961,48.5742,-20.5678
UID_34_20_3_all-9,-12.4738,106.914,-17.6556,-9.78062,1.54105
UID_34_20_4_all-14,-17.0527,110.645,3.91589,14.5079,-4.98865
UID_34_20_5_all-20,-103.098,61.7269,-4.45077,-12.0647,-1.69587
UID_34_20_6_all-18,-168.196,8.3341,-11.4814,-28.0045,16.7475
UID_34_20_7_all-10,-5.61378,46.7686,14.1305,103.084,-27.0707
UID_34_20_8_all-23,-106.825,48.5938,-8.47429,-15.3552,-7.01665
UID_34_21_10_all-3,719.55,-193.258,54.8639,-81.067,-116.813
UID_34_21_11_all-15,562.12,-34.6028,-292.541,16.4883,123.215
UID_34_21_12_all-12,615.542,-98.4775,-139.238,10.3535,-147.105
UID_34_21_13_all-15,616.142,128.008,-386.085,223.207,11.9608
UID_34_21_14_all-11,2.43731,128.255,-8.74537,-1.16426,-13.04
UID_34_21_15_all-21,-208.366,-62.268,-22.699,-18.4227,-16.4767
UID_34_21_16_all-16,590.592,-45.5407,-93.4141,43.972,-206.917
UID_34_21_17_all-8,25.7351,174.87,1.12965,-9.52155,-10.5419
UID_34_21_18_all-12,145.912,130.484,186.279,95.6296,108.377
UID_34_21_19_all-17,-224.884,-62.1148,-16.8359,-45.4825,-1.76632
UID_34_21_1_all-20,-257.712,-100.05,-10.1349,-23.7679,3.33408
UID_34_21_20_all-4,-6.89778,156.683,-0.85395,-16.8441,1.5174
UID_34_21_21_all-10,-11.9361,132.609,8.03497,-1.74227,-6.85242
UID_34_21_2_all-12,524.539,92.4974,331.552,-88.0111,-21.8813
UID_34_21_3_all-22,799.742,-348.855,-33.2648,-99.1796,-1.98243
UID_34_21_4_all-15,-29.4214,145.049,-3.04018,-23.1052,7.17991
UID_34_21_5_all-18,-93.3023,75.0902,0.0830329,-29.4209,12.4518
UID_34_21_6_all-19,756.062,-119.348,-80.1381,-109.151,94.3211
UID_34_21_7_all-12,-134.023,54.5774,6.93181,-35.5027,15.8599
UID_34_21_8_all-6,682.871,17.5782,-335.997,214.455,106.559
UID_34_21_9_all-24,-188.802,-29.1919,1.91627,-23.1849,-12.2498
UID_34_22_10_all-35,-171.093,-67.4443,20.2002,-44.9512,-37.9433
UID_34_22_11_all-19,29.9236,179.236,-11.6461,3.97959,-7.92518
UID_34_22_12_all-4,-29.0611,-18.2678,56.6396,27.9382,45.1828
UID_34_22_1_all-13,-36.7074,98.0202,-9.46964,7.32772,-22.4347
UID_34_22_2_all-11,399.321,-197.732,379.108,90.3796,73.8679
UID_34_22_3_all-8,561.488,63.1029,-349.5,94.4003,32.5149
UID_34_22_4_all-7,476.444,518.679,22.0392,67.4305,-42.7012
UID_34_22_5_all-11,-95.6347,83.4627,-6.73646,-44.1106,32.6348
UID_34_22_6_all-30,328.81,-88.3512,281.471,168.557,227.127
UID_34_22_7_all-10,8.65846,149.485,-0.100518,10.211,-28.6461
UID_34_22_8_all-21,-201.772,-10.1194,18.2167,-41.3556,14.7099
UID_34_22_9_all-30,-234.698,-57.6093,-6.29526,-52.2298,25.2834
UID_34_23_1_all-7,-163.752,-67.9935,-32.5943,6.50287,-37.5726
UID_34_23_2_all-14,-136.44,17.905,-6.72086,-25.4705,1.84174
UID_34_23_3_all-25,403.667,-105.672,436.059,-79.6674,107.495
UID_34_23_4_all-20,-122.484,-22.4823,15.5527,8.27786,-10.0246
UID_34_23_5_all-12,776.251,-316.296,-8.61274,-85.2931,-74.5775
UID_34_24_10_all-11,-82.9445,96.7156,-1.85704,-24.866,14.4969
UID_34_24_11_all-20,-97.1611,51.337,-6.80143,-4.34853,-17.7157
UID_34_24_1_all-21,-316.664,-135.06,10.1247,-27.5834,3.66598
UID_34_24_2_all-10,548.88,134.263,426.844,-21.1187,-68.8993
UID_34_24_3_all-10,726.55,5.25502,278.993,0.210365,-73.7912
UID_34_24_4_all-15,-67.8633,92.8218,-6.50075,-13.0174,-1.24338
UID_34_24_5_all-14,-169.614,22.2843,1.41877,-36.076,13.9867
UID_34_24_6_all-22,-186.517,-17.2403,0.795818,-21.6109,-6.293
UID_34_24_7_all-18,-188.781,-105.687,-36.1171,-13.3494,-5.13688
UID_34_24_8_all-19,-57.5124,118.88,1.10643,-33.6284,20.3124
UID_34_24_9_all-25,-271.072,-116.225,-31.6921,-50.234,20.4731
UID_34_25_10_all-27,-169.378,-19.2258,3.52718,-16.5761,4.0239
UID_34_25_11_all-9,-162.702,25.0508,-2.87618,-47.1265,23.1074
UID_34_25_12_all-8,85.6282,227.595,4.0672,13.1877,-8.2148
UID_34_25_13_all-9,660.712,24.4913,-107.617,6.10469,-71.5336
UID_34_25_1_all-12,517.65,74.3262,-348.097,111.424,-30.318
UID_34_25_2_all-20,515.1,111.809,-238.61,65.5011,-124.776
UID_34_25_3_all-13,-30.0916,86.7986,11.3553,-4.38446,17.5903
UID_34_25_4_all-15,-11.8571,150.017,-4.91656,-21.9836,13.144
UID_34_25_5_all-22,657.921,-211.281,-211.454,3.47198,210.491
UID_34_25_6_all-13,-0.299365,-27.9814,-22.4405,142.243,-85.3612
UID_34_25_7_all-17,-26.5561,139.411,12.3536,-23.2132,26.6112
UID_34_25_8_all-18,508.878,56.2015,-363.839,90.236,106.068
UID_34_25_9_all-7,-116.867,43.2711,-0.375791,-10.2253,-19.7197
UID_34_26_1_all-7,-180.514,-22.3789,-5.43543,-19.3408,-6.81421
UID_34_26_2_all-21,-162.831,-3.12092,-6.32929,-34.414,9.81613
UID_34_26_3_all-17,757.627,-273.905,-48.8865,-95.9076,38.0856
UID_34_26_4_all-22,-257.97,-71.3454,-1.83862,-55.0164,25.5223
UID_34_26_5_all-19,-237.166,-115.967,-46.6147,17.327,-41.1502
UID_34_26_6_all-14,-127.375,37.7517,11.5523,-21.6604,17.5697
UID_34_26_7_all-14,-22.8635,111.936,-10.3953,7.18954,-15.7623
UID_34_27_1_all-17,19.6271,181.223,31.6401,-6.5507,18.4135
UID_34_27_2_all-24,-109.644,-39.1752,9.5861,7.61209,12.6679
UID_34_27_3_all-8,-146.057,-6.5729,-9.18355,-18.4425,4.8782
UID_34_27_4_all-14,7.48448,110.216,-23.4497,14.6329,-12.6559
UID_34_27_5_all-32,-133.743,44.5574,1.98236,-23.9676,7.64021
UID_34_27_6_all-31,-290.126,-113.374,-9.19604,-29.7835,-0.991142
UID_34_28_1_all-9,-43.1397,48.9632,47.6072,37.2067,50.3385
UID_34_28_2_all-18,-70.9488,77.266,1.55266,-21.5303,8.4212
UID_34_28_3_all-15,-52.9179,83.7944,-8.57902,-4.77064,-1.9284
UID_34_28_4_all-15,-34.052,134.112,-1.87599,-24.3748,17.1749
UID_34_28_5_all-17,690.384,-148.118,-147.992,-51.6273,111.969
UID_34_29_1_all-20,149.735,-16.4695,182.073,75.0113,86.2321
UID_34_29_2_all-12,-1.53169,117.339,40.0871,-13.1848,34.6516
UID_34_29_3_all-14,-39.1944,59.237,10.6724,21.4727,-11.8145
UID_34_29_4_all-17,684.447,-278.695,-88.8752,-85.9193,-98.5688
UID_34_29_5_all-20,-61.3845,69.251,-8.33768,-14.7897,-4.46097
UID_34_29_6_all-7,485.123,213.424,245.127,138.797,-232.146
UID_34_2_10_all-21,-27.9927,127.111,4.92267,-3.12924,4.07841
UID_34_2_11_all-13,-123.492,19.673,-11.354,2.03949,-20.3377
UID_34_2_12_all-24,-64.2665,95.4969,7.45427,-13.9819,-0.162539
UID_34_2_13_all-11,827.918,-80.2408,88.3551,-120.669,-5.64207
UID_34_2_14_all-35,-177.931,-1.48034,-3.08914,-45.7841,21.0139
UID_34_2_1_all-13,759.548,-309.279,-49.1726,-93.5581,-22.7561
UID_34_2_2_all-9,-18.8971,138.282,-6.35391,-0.830206,-5.82661
UID_34_2_3_all-13,-23.3054,134.511,2.33385,-7.72551,4.80265
UID_34_2_4_all-8,593.108,-27.0576,22.1149,17.1645,-218.582
UID_34_2_5_all-5,-13.1187,153.158,0.258881,-12.1721,2.56703
UID_34_2_6_all-10,-5.00298,148.69,-9.23805,-5.01834,-11.9046
UID_34_2_7_all-26,-250.792,-141.278,-25.6212,-32.0159,9.6054
UID_34_2_8_all-9,21.5752,185.311,-4.89706,-10.7493,6.43278
UID_34_2_9_all-19,460.808,53.0025,272.473,104.244,227.874
UID_34_30_10_all-13,-31.3063,129.402,-0.0486495,-8.31528,-4.45637
UID_34_30_11_all-13,-33.539,137.447,3.24914,-11.91,-0.0524861
UID_34_30_12_all-19,546.047,109.176,244.435,-29.8171,-74.2281
UID_34_30_13_all-23,-8.99972,152.137,1.20792,-10.6649,1.07496
UID_34_30_1_all-25,-180.751,-1.55101,2.45039,-27.9862,9.54141
UID_34_30_2_all-21,-96.871,74.5942,4.38948,-23.7771,1.78096
UID_34_30_3_all-38,-247.508,-83.6728,21.0126,-18.8879,19.1184
UID_34_30_4_all-16,-135.894,50.8122,3.64747,-28.7148,13.5729
UID_34_30_5_all-12,-39.8562,115.279,-6.6891,-18.215,4.09033
UID_34_30_6_all-6,-74.8471,92.7109,-5.34639,-29.7246,10.0617
UID_34_30_7_all,515.571,647.636,7.59349,44.2851,-11.1604
UID_34_30_8_all-28,-186.05,-11.8587,-5.15176,-50.5383,21.0823
UID_34_30_9_all-27,586.895,21.6144,465.414,136.252,51.0171
UID_34_31_1_all-10,-227.084,-69.0242,6.91328,-34.0441,18.5847
UID_34_31_2_all-25,-229.689,-63.6321,-8.79073,-40.0917,15.4416
UID_34_31_3_all-19,-229.542,-107.711,-18.6563,1.07258,-35.1429
UID_34_31_4_all-22,-256.025,-101.075,-9.20935,-27.5568,0.155051
UID_34_31_5_all-16,-146.151,-271.85,-84.5608,179.125,-79.0001
UID_34_31_6_all-20,-198.711,-90.282,34.8361,-16.279,64.0118
UID_34_31_7_all-28,603.377,-68.784,449.67,30.3933,-76.4948
UID_34_31_8_all-11,679.463,56.9938,-220.345,109.134,-22.2748
UID_34_32_1_all-24,-133.118,-11.071,-16.7318,1.92071,-31.2523
UID_34_32_2_all-18,-76.9695,64.0395,-6.15227,-7.8596,-14.336
UID_34_32_3_all-33,-217.767,-78.7407,-15.9764,-19.8345,-15.6133
UID_34_32_4_all-27,862.269,-375.344,21.017,-142.325,-46.708
UID_34_32_5_all-28,811.69,-184.273,-9.43261,-127.956,95.0928
UID_34_32_6_all-20,-83.8124,80.7684,-7.28173,-13.1032,-3.92129
UID_34_32_7_all-23,-48.903,117.857,1.79952,-27.8433,18.542
UID_34_32_8_all-4,-5.04819,141.233,8.50326,-15.3755,24.9286
UID_34_32_9_all-29,-181.603,-0.592246,-3.99411,-41.9893,22.5698
UID_34_33_1_all-13,633.158,38.6328,-160.39,-23.0828,166.23
UID_34_33_2_all-11,745.441,-35.6951,4.37174,-40.36,-8.79034
UID_34_33_3_all-31,-185.951,-11.1522,-3.78125,-37.3114,11.8479
UID_34_33_4_all-16,-39.6454,93.2337,10.6904,-27.4933,-4.16889
UID_34_33_5_all-17,-143.232,25.0771,-2.57499,-37.76,25.5642
UID_34_33_6_all-17,800.49,-246.116,13.5123,-79.4584,-68.4092
UID_34_33_7_all-19,-81.8747,101.701,3.69507,-23.0085,11.4397
UID_34_33_8_all-13,752.439,-409.74,-52.9969,-104.471,-51.729
UID_34_33_9_all-19,-102.344,84.3818,5.89842,-33.3995,18.1144
UID_34_34_1_all-27,-163.942,27.7517,2.63668,-41.5842,19.5838
UID_34_34_2_all-20,-115.614,69.7646,5.90585,-29.0921,11.7993
UID_34_34_3_all-19,-21.4118,158.883,6.33007,-26.8199,16.272
UID_34_34_4_all-15,617.968,40.2185,318.351,36.5842,-51.4525
UID_34_34_5_all-32,-149.731,-294.109,78.7317,153.11,84.2641
UID_34_34_6_all-24,505.397,26.4583,281.777,253.118,151.318
UID_34_34_7_all-15,-18.1022,44.3789,24.6881,49.1591,9.36106
UID_34_35_1_all-10,-226.335,-67.4018,6.82846,-35.2488,17.3404
UID_34_35_2_all-14,-42.7465,86.3989,18.2072,-20.8329,14.8846
UID_34_35_3_all-20,-228.349,-64.1514,-9.4691,-38.928,16.7045
UID_34_35_4_all-30,-227.276,-106.59,-16.5942,3.78059,-32.8671
UID_34_35_5_all-20,-255.597,-99.2564,-10.1407,-27.3274,-0.0548574
UID_34_35_6_all-28,-147.349,-268.272,-85.2947,181.787,-79.6104
UID_34_35_7_all-17,-195.982,-90.1394,37.0947,-15.5171,62.6678
UID_34_35_8_all-23,512.15,115.796,468.608,73.1005,-28.5098
UID_34_35_9_all-14,644.812,55.3924,260.508,-41.9104,-163.189
UID_34_36_1_all-17,633.952,-41.4847,-245.384,101.421,94.2312
UID_34_36_2_all-21,758.651,-99.7266,-200.097,45.3564,85.6596
UID_34_36_3_all-21,-193.853,-44.8675,-8.45022,-21.3433,11.1008
UID_34_36_4_all-13,689.096,-271.903,-114.029,-101.15,33.6687
UID_34_36_5_all-21,-116.454,56.5819,-2.34259,-39.4184,25.7937
UID_34_36_6_all-11,700.024,86.715,305.352,51.6888,59.1714
UID_34_36_7_all-14,320.479,-41.3378,264.37,217.286,144.67
UID_34_37_1_all-19,-97.2442,44.6787,14.1056,-24.4457,49.5674
UID_34_37_2_all-9,-2.37141,153.527,-1.96861,-19.1105,8.90901
UID_34_37_3_all-2,-103.002,-36.9381,93.6995,61.3764,85.6944
UID_34_37_4_all-22,-197.333,-18.5318,0.234402,-35.0874,15.1897
UID_34_3_1_all-16,680.23,-193.82,-134.38,-42.4484,227.822
UID_34_4_1_all-20,-130.059,25.5086,2.65685,-12.3269,16.4566
UID_34_4_2_all-26,-34.8244,-157.999,132.037,290.83,195.375
UID_34_4_3_all-20,-80.5242,109.965,7.2236,-29.256,24.9931
UID_34_4_4_all-13,686.488,-14.9372,-97.8625,-41.9636,-61.8171
UID_34_4_5_all-21,-95.2385,44.807,-12.2073,-12.2346,-17.2815
UID_34_4_6_all-17,-177.844,-3.51078,-5.11112,-37.5427,12.9236
UID_34_5_1_all-34,-225.013,-81.5821,-15.1931,-14.8913,-9.11803
UID_34_5_2_all-13,38.7483,-118.982,-51.001,266.887,31.0918
UID_34_5_3_all-23,-256.674,-80.973,-3.9122,-43.2587,8.67648
UID_34_5_4_all-11,-56.7748,115.856,5.28469,-17.9215,10.0263
UID_34_6_1_all-19,-108.851,-89.5165,62.6625,54.5822,21.4459
UID_34_6_2_all-16,-159.808,14.3752,-2.52248,-27.6949,9.04714
UID_34_6_3_all-14,-98.3754,-167.966,-49.6447,179.866,-74.2542
UID_34_6_4_all-18,-104.957,11.4796,58.449,4.34273,-0.904993
UID_34_6_5_all-9,-240.976,-77.8537,-8.81492,-27.936,10.9689
UID_34_6_6_all-17,-67.9665,72.1596,-13.3995,-3.98826,-14.606
UID_34_7_10_all-16,563.596,175.663,-372.765,204.787,108.582
UID_34_7_11_all-20,-190.578,-62.5912,-33.8619,-24.2432,-1.74243
UID_34_7_12_all-9,-233.876,-177.353,-109.436,-45.5535,-50.6376
UID_34_7_13_all-16,482.4,234.29,42.8237,126.823,-201.649
UID_34_7_14_all-15,-49.616,-28.7857,144.176,82.1934,93.2496
UID_34_7_15_all-4,-57.9721,65.8966,-11.4765,-19.1027,-4.54404
UID_34_7_16_all-29,449.717,-162.275,245.747,-69.8351,-23.4398
UID_34_7_17_all-16,-123.855,36.4062,-8.42678,-33.0894,14.3014
UID_34_7_1_all-16,-73.488,72.5586,-3.00214,-4.50449,-4.3566
UID_34_7_2_all-15,-182.169,-21.1112,-11.8385,-27.1595,-0.186547
UID_34_7_3_all-10,399.689,131.711,234.545,15.7289,183.104
UID_34_7_4_all-8,64.0271,-271.956,-5.77619,170.977,47.1128
UID_34_7_5_all-13,-208.473,-31.5756,-6.93941,-43.1726,31.8987
UID_34_7_6_all-22,-138.659,-63.5731,5.3732,26.5582,-0.491358
UID_34_7_7_all-19,696.184,72.3485,225.699,180.739,268.612
UID_34_7_8_all-23,-110.412,38.4794,6.72267,-3.60891,-10.6946
UID_34_7_9_all-8,583.298,-227.659,4.29723,22.9632,-299.724
UID_34_8_1_all-8,-211.769,-68.8556,-20.6465,-4.16297,-21.5926
UID_34_9_10_all-17,-103.63,28.1688,0.888643,-6.57858,3.00541
UID_34_9_1_all-13,6.91227,-125.049,-34.7375,248.311,-33.022
UID_34_9_2_all-24,-132.337,36.5546,-4.01505,-22.6134,-1.86226
UID_34_9_3_all-26,-148.82,-32.5734,-3.92907,-16.1505,3.39415
UID_34_9_4_all-17,475.578,156.731,356.013,133.612,-76.38
UID_34_9_5_all-9,706.973,-102.089,-81.0215,-73.002,-34.3754
UID_34_9_6_all-17,-212.733,-35.6699,3.84619,-34.6807,14.0447
UID_34_9_7_all-14,-5.896,-149.162,-14.8737,227.154,-66.0499
UID_34_9_8_all-22,-297.486,-114.464,-21.7732,-50.6069,25.0997
UID_34_9_9_all-9,-88.9818,22.9386,5.5045,30.4415,-14.1819
UID_38_10_1_all-5,788.721,-185.774,22.4724,-100.436,-21.03
UID_38_10_2_all-23,-161.043,-13.9736,-12.4932,-2.04582,-24.7762
UID_38_10_3_all-4,748.926,-221.845,-41.2905,-68.9604,14.4178
UID_38_10_4_all-10,-170.515,-24.565,3.94765,-22.4532,2.85115
UID_38_10_5_all-27,-286.409,-156.061,-51.0339,5.35514,-25.3576
UID_38_10_6_all-3,-194.388,-37.0554,-27.9654,-23.4684,-5.36892
UID_38_11_1_all-12,-75.6365,-125.508,92.3776,114.504,27.4026
UID_38_11_2_all-18,449.064,589.112,6.53927,38.5047,-13.3594
UID_38_11_3_all-17,-126.027,-36.0988,-38.2387,-13.2299,-17.6927
UID_38_11_4_all-39,-144.667,-31.9489,3.90009,-47.2111,39.3659
UID_38_11_5_all-21,-176.375,-79.8582,-41.7482,16.9541,-60.8803
UID_38_11_6_all-6,-162.54,-7.3193,-4.13967,-9.90484,-10.5944
UID_38_12_1_all-25,-258.35,-76.5918,-5.7867,-40.4385,8.91184
UID_38_12_2_all-17,-159.15,13.9646,-6.63518,-34.4737,6.12991
UID_38_12_3_all-21,-258.321,-113.258,-23.1927,-4.84313,-12.9127
UID_38_13_1_all-22,-224.356,-65.4082,-11.9024,-44.6554,11.6073
UID_38_13_2_all-21,-161.421,-50.866,-12.7364,-25.723,16.0471
UID_38_13_3_all-2,491.428,619.475,7.4847,40.2052,-3.58371
UID_38_13_4_all-8,-158.169,36.1661,11.3185,-38.3192,19.9028
UID_38_13_5_all-16,-171.882,-20.0102,-10.344,-11.2156,-11.1159
UID_38_13_6_all-16,-211.327,-18.8358,6.60965,-32.486,29.0547
UID_38_14_1_all-27,-245.796,-121.98,-13.6388,-32.7021,5.69412
UID_38_14_2_all-7,-124.984,-2.35571,-21.1637,-17.3064,2.53846
UID_38_14_3_all-20,-145.841,-55.809,-13.3876,-5.33232,-0.716266
UID_38_14_4_all-24,-230.651,-134.632,-9.28252,-11.9137,51.5768
UID_38_14_5_all-28,-164.118,-13.0771,-7.37943,-14.8766,16.2666
UID_38_14_6_all-11,-134.904,29.4619,-0.688604,-9.55387,-10.0267
UID_38_14_7_all-27,-194.552,-102.139,-13.5449,2.05382,-23.7148
UID_38_14_8_all-10,-209.413,-26.482,-2.13555,-36.4534,13.122
UID_38_15_1_all,503.066,643.401,10.6657,46.2301,-11.5913
UID_38_15_2_all-8,-142.439,45.4354,-0.248727,-32.0596,11.5894
UID_38_15_3_all-6,-122.846,5.60156,-7.72695,-24.4028,17.2716
UID_38_15_4_all-25,-197.761,-37.476,-7.29163,-33.1941,7.86459
UID_38_15_5_all-2,522.098,652.516,6.32735,52.9342,-22.3981
UID_38_15_6_all-14,-173.313,-0.815194,-3.64886,-37.6558,14.8585
UID_38_15_7_all-27,-212.937,-46.2892,8.0503,-24.9963,1.78226
UID_38_15_8_all-30,-249.034,-178.426,-43.4022,9.64526,-58.5966
UID_38_16_1_all-9,-156.795,-156.801,32.0889,23.1373,43.1545
UID_38_16_2_all-9,721.153,-307.83,-93.171,-97.213,59.208
UID_38_17_1_all-30,-266.731,-123.511,14.0293,-1.03681,-14.8651
UID_38_17_2_all-11,767.259,-276.98,-1.93124,-90.6092,-77.7755
UID_38_17_3_all-12,684.752,-191.888,-130.83,-123.229,121.108
UID_38_17_4_all-12,718.645,-281.698,-139.122,-61.8325,32.1962
UID_38_18_1_all-17,-210.804,-93.706,5.90162,-40.0813,55.1028
UID_38_18_2_all-19,-147.15,-84.2128,-29.2664,23.757,-50.3151
UID_38_18_3_all-9,510.024,653.103,10.8589,41.5532,-10.7626
UID_38_18_4_all-24,568.455,-142.887,-272.907,40.6326,89.8934
UID_38_1_1_all-8,-118.995,9.06938,-13.6484,-5.66467,-3.75517
UID_38_1_2_all-10,-121.667,55.4894,-0.492742,-27.5925,6.57486
UID_38_1_3_all-11,-117.04,23.41,-14.5819,1.69908,-27.164
UID_38_1_4_all-11,-153.128,25.584,-2.29655,-22.8815,2.08035
UID_38_20_1_all-12,-126.218,-33.9603,-3.70008,-0.860593,8.93052
UID_38_20_2_all-9,-175.694,-18.3004,-2.90929,-13.7922,-5.12531
UID_38_20_3_all-34,366.486,-117.516,337.603,85.1053,246.378
UID_38_20_4_all-16,-216.595,-60.8225,-3.78638,-30.1951,11.6676
UID_38_20_5_all,523.211,668.712,12.1197,46.1486,-11.4266
UID_38_20_6_all-18,-199.498,-189.317,32.8197,91.0054,-87.0147
UID_38_20_7_all-8,827.13,-209.997,105.671,-115.614,-7.33398
UID_38_20_8_all-16,-78.7114,-107.688,133.197,85.682,83.2875
UID_38_20_9_all-21,-88.2208,-188.154,150.988,-5.29584,144.282
UID_38_21_10_all-17,-241.274,-74.8996,-6.78791,-28.5851,1.8624
UID_38_21_1_all-8,713.228,-229.809,-75.2279,-74.5058,-41.0972
UID_38_21_2_all-15,538.555,683.263,12.6965,48.3313,-12.6538
UID_38_21_3_all-24,604.211,-156.483,-183.758,9.7307,99.5546
UID_38_21_4_all-20,704.852,-271.413,-55.7997,-46.5889,-83.5226
UID_38_21_5_all-25,728.006,-241.726,-63.0958,-75.5206,47.0208
UID_38_21_6_all-26,-242.742,-144.916,26.8797,-13.1871,-0.751887
UID_38_21_7_all-28,-204.565,-143.645,-17.6839,8.85785,-12.0325
UID_38_21_8_all-23,-203.137,-23.1534,5.48891,-36.0033,20.2252
UID_38_21_9_all-11,-151.682,-78.0438,-18.8619,-28.8909,-62.2152
UID_38_22_10_all-16,-156.414,-163.311,-40.7065,16.4197,-3.67151
UID_38_22_11_all-16,517.338,143.191,-235.17,93.6375,-235.703
UID_38_22_12_all-27,-180.899,6.26214,4.05709,-37.6031,15.9722
UID_38_22_1_all-18,-236.367,-69.2672,-9.21587,-23.0239,1.41941
UID_38_22_2_all-32,-192.071,-109.047,12.3609,7.77236,5.53314
UID_38_22_3_all-25,-211.756,-79.3575,-31.9266,-11.6653,-31.2857
UID_38_22_4_all-5,537.566,682.311,12.7156,48.9215,-13.0752
UID_38_22_5_all-34,-170.164,-66.9638,52.1753,-30.4331,95.1856
UID_38_22_6_all-31,-257.826,-113.259,-9.97169,-34.428,4.78846
UID_38_22_7_all-45,165.662,-199.382,195.151,-77.3838,138.906
UID_38_22_8_all-17,-209.301,-91.7011,1.27525,22.2299,-5.69461
UID_38_22_9_all-20,-101.371,-115.108,18.7069,58.0223,1.95969
UID_38_23_1_all-16,-224.36,-43.1109,10.0473,-46.5906,13.2649
UID_38_23_2_all-26,-151.808,-27.6709,-7.17433,-12.7707,4.15108
UID_38_23_3_all-11,716.505,-182.101,-98.5663,-86.394,135.171
UID_38_23_4_all-19,-163.889,-59.2467,-24.615,-2.11984,-36.1378
UID_38_23_5_all-17,-231.896,-73.2861,-10.0835,-20.9345,-11.4088
UID_38_24_1_all-2,522.475,667.07,12.2035,47.3729,-12.8538
UID_38_24_2_all-13,-204.848,-51.4597,-3.57679,-3.80236,4.21699
UID_38_24_3_all-11,-141.106,-29.2505,-26.7467,-6.49311,-18.5633
UID_38_24_4_all-10,-244.41,-92.5102,-1.65502,-39.5885,31.7903
UID_38_25_1_all-15,-165.505,28.3698,4.38654,-43.8572,35.7986
UID_38_25_2_all-3,-152.4,34.552,6.6417,-32.0608,20.9911
UID_38_26_1_all-14,497.277,637.716,11.7887,47.6439,-13.1058
UID_38_26_2_all-33,-196.228,-36.5598,-6.11613,-34.3584,6.68285
UID_38_26_3_all-36,-211.994,-44.6575,8.16417,-25.0058,1.37139
UID_38_26_4_all-13,-176.76,0.509281,-14.1493,-38.3412,11.0389
UID_38_26_5_all-21,-248.452,-178.02,-47.0254,3.65002,-55.343
UID_38_2_1_all-41,703.06,-345.126,-273.217,-73.5091,47.9704
UID_38_2_2_all-20,-240.569,-73.9043,7.32069,-32.5443,5.25483
UID_38_3_1_all-14,-224.534,-57.8436,-11.0122,-21.0558,-8.48941
UID_38_3_2_all-16,-169.395,-12.5167,-13.3091,-18.7198,-5.90441
UID_38_3_3_all-21,-226.744,-63.9038,5.1778,-32.2187,12.2622
UID_38_4_1_all-15,-146.591,-62.2491,30.4831,-18.6951,36.1654
UID_38_5_10_all-5,743.439,-166.431,63.6073,-99.9711,-125.07
UID_38_5_11_all-15,-113.722,60.782,-0.236003,-25.2053,12.8596
UID_38_5_1_all-12,-156.551,18.5627,5.89708,-20.9789,5.43287
UID_38_5_2_all-8,-119.245,33.0527,-9.25165,-21.6401,5.10616
UID_38_5_3_all-14,-128.654,59.8645,6.87546,-29.8306,10.3303
UID_38_5_4_all-4,-186.368,-3.16109,7.04927,-29.5225,22.2168
UID_38_5_5_all-21,-177.266,-88.4071,-15.7066,26.785,-40.4139
UID_38_5_6_all-20,-126.888,-140.621,-37.9663,77.891,-56.4649
UID_38_5_7_all-12,-100.687,64.742,-4.76614,-12.0769,-3.00634
UID_38_5_8_all-12,-133.643,27.1007,-5.4673,-12.3089,-12.8581
UID_38_5_9_all-21,-157.536,7.14671,18.3133,-32.2545,24.787
UID_38_6_10_all-2,482.351,607.713,5.90768,37.5293,-8.7772
UID_38_6_11_all-20,-101.627,76.4846,-1.84398,-32.9978,19.4444
UID_38_6_12_all-20,-74.6554,40.2566,0.159381,-0.959497,2.43322
UID_38_6_13_all-15,35.443,-79.2866,75.2494,118.54,74.3108
UID_38_6_1_all-13,-130.359,27.393,-4.83224,-8.4294,-13.7338
