Contour,Aspect Ratio
UID_H24_10_7_hem-17,1.16478
UID_H24_10_8_hem-15,1.14406
UID_H24_10_9_hem-3,1.18449
UID_H24_11_1_hem-3,1.19608
UID_H24_11_2_hem-9,1.17856
UID_H24_11_3_hem-3,1.122
UID_H24_11_4_hem-8,1.07924
UID_H24_11_5_hem-14,1.09923
UID_H24_11_6_hem-6,1.13299
UID_H24_11_7_hem-9,0.965979
UID_H24_11_8_hem-7,1.1458
UID_H24_12_1_hem-8,1.01184
UID_H24_12_2_hem-7,1.26343
UID_H24_12_3_hem-8,1.75894
UID_H24_12_4_hem-6,1.05918
UID_H24_12_5_hem-6,0.738375
UID_H24_12_6_hem-4,1.08587
UID_H24_12_7_hem-3,1.19915
UID_H24_12_8_hem-10,1.18341
UID_H24_12_9_hem-4,1.14477
UID_H24_13_10_hem-10,1.11233
UID_H24_13_11_hem-13,1.32228
UID_H24_13_12_hem-13,1.23524
UID_H24_13_13_hem-13,1.19355
UID_H24_13_14_hem-7,1.29189
UID_H24_13_15_hem-10,1.11814
UID_H24_13_16_hem-13,1.1455
UID_H24_13_17_hem-14,1.06484
UID_H24_13_18_hem-9,1.12581
UID_H24_13_1_hem-5,1.06758
UID_H24_13_2_hem-7,1.16636
UID_H24_13_3_hem-10,1.06242
UID_H24_13_4_hem-15,1.20846
UID_H24_13_5_hem-11,1.03947
UID_H24_13_6_hem-9,1.29062
UID_H24_13_7_hem-7,1.22454
UID_H24_13_8_hem-10,1.12395
UID_H24_13_9_hem-12,1.0893
UID_H24_14_1_hem-5,1.16133
UID_H24_14_2_hem-7,1.07935
UID_H24_14_3_hem-15,1.04935
UID_H24_14_4_hem-5,0.842106
UID_H24_14_5_hem-4,1.17267
UID_H24_14_6_hem-5,1.11372
UID_H24_15_10_hem-4,1.23813
UID_H24_15_1_hem-5,1.17429
UID_H24_15_2_hem-4,1.39347
UID_H24_15_3_hem-4,1.0552
UID_H24_15_4_hem-6,1.03065
UID_H24_15_5_hem-2,1.01204
UID_H24_15_6_hem-4,1.23049
UID_H24_15_7_hem-14,1.16646
UID_H24_15_8_hem-3,1.11596
UID_H24_15_9_hem-4,1.23432
UID_H24_16_10_hem-8,1.18155
UID_H24_16_11_hem-12,1.01713
UID_H24_16_12_hem-8,1.0307
UID_H24_16_13_hem-11,1.13243
UID_H24_16_1_hem-6,1.10056
UID_H24_16_2_hem-4,1.012
UID_H24_16_3_hem-11,1.10038
UID_H24_16_4_hem-11,1.11752
UID_H24_16_6_hem-13,1.15992
UID_H24_16_7_hem-10,1.14726
UID_H24_16_8_hem-3,1.19634
UID_H24_16_9_hem-4,0.996375
UID_H24_17_10_hem-5,1.44407
UID_H24_17_11_hem-7,1.04804
UID_H24_17_1_hem-5,1.35958
UID_H24_17_2_hem-5,1.46491
UID_H24_17_3_hem-2,1.01426
UID_H24_17_4_hem-4,1.14506
UID_H24_17_6_hem-6,1.1476
UID_H24_17_7_hem-10,1.09724
UID_H24_17_8_hem-16,1.17586
UID_H24_17_9_hem-7,1.00484
UID_H24_18_10_hem-7,1.27777
UID_H24_18_11_hem-2,1.17759
UID_H24_18_1_hem-15,1.13471
UID_H24_18_2_hem-3,1.08352
UID_H24_18_3_hem-5,1.06365
UID_H24_18_4_hem-8,1.11057
UID_H24_18_5_hem-6,1.20262
UID_H24_18_6_hem-2,1.08418
UID_H24_18_7_hem-8,1.06763
UID_H24_18_8_hem-5,0.938695
UID_H24_18_9_hem-5,1.29717
UID_H24_19_10_hem-2,1.27547
UID_H24_19_11_hem-6,1.14841
UID_H24_19_12_hem-12,1.17911
UID_H24_19_13_hem-3,1.10988
UID_H24_19_14_hem-2,1.38346
UID_H24_19_1_hem-9,1.19199
UID_H24_19_2_hem-11,1.12564
UID_H24_19_3_hem-8,1.13904
UID_H24_19_4_hem-8,1.07662
UID_H24_19_5_hem-6,1.35149
UID_H24_19_6_hem-5,1.11367
UID_H24_19_7_hem-16,1.71064
UID_H24_19_8_hem-6,1.12012
UID_H24_19_9_hem-13,1.28856
UID_H24_1_10_hem-10,1.20203
UID_H24_1_11_hem-4,1.97443
UID_H24_1_12_hem-14,1.10001
UID_H24_1_13_hem,0.853056
UID_H24_1_14_hem-9,1.09496
UID_H24_1_16_hem-6,1.28362
UID_H24_1_17_hem-3,1.39472
UID_H24_1_1_hem-9,1.48381
UID_H24_1_2_hem-3,1.11319
UID_H24_1_3_hem-7,1.14469
UID_H24_1_4_hem-13,1.2063
UID_H24_1_5_hem-4,1.14874
UID_H24_1_6_hem-7,1.2095
UID_H24_1_7_hem-13,1.13546
UID_H24_1_8_hem-14,1.79346
UID_H24_1_9_hem-6,1.09801
UID_H24_20_10_hem-9,1.09738
UID_H24_20_11_hem-4,1.07051
UID_H24_20_1_hem-13,1.18604
UID_H24_20_2_hem-7,1.02873
UID_H24_20_3_hem-12,1.15458
UID_H24_20_4_hem-11,1.19992
UID_H24_20_5_hem-4,1.14983
UID_H24_20_6_hem-10,1.37099
UID_H24_20_7_hem-9,1.04214
UID_H24_20_8_hem-9,1.00678
UID_H24_20_9_hem-12,0.786815
UID_H24_21_10_hem-6,1.149
UID_H24_21_11_hem-4,1.28257
UID_H24_21_1_hem-8,1.01408
UID_H24_21_2_hem-4,1.13248
UID_H24_21_3_hem-4,1.05297
UID_H24_21_4_hem-15,1.14426
UID_H24_21_5_hem-14,1.34486
UID_H24_21_6_hem-5,1.09954
UID_H24_21_7_hem-6,1.25738
UID_H24_21_8_hem-12,1.18474
UID_H24_21_9_hem-4,1.04883
UID_H24_22_10_hem-5,1.12309
UID_H24_22_11_hem-4,1.20743
UID_H24_22_12_hem-9,1.25234
UID_H24_22_13_hem-5,0.947654
UID_H24_22_1_hem-3,1.08885
UID_H24_22_2_hem-16,1.07795
UID_H24_22_3_hem-16,0.925233
UID_H24_22_4_hem-9,1.1225
UID_H24_22_6_hem-8,1.10621
UID_H24_22_7_hem-4,1.13681
UID_H24_22_8_hem-9,0.973528
UID_H24_22_9_hem-2,1.26359
UID_H24_23_10_hem-10,1.38809
UID_H24_23_11_hem-2,1.28331
UID_H24_23_12_hem-6,1.13593
UID_H24_23_13_hem-16,1.09851
UID_H24_23_15_hem-11,1.53069
UID_H24_23_1_hem,0.983838
UID_H24_23_2_hem-14,1.34648
UID_H24_23_3_hem-6,1.23372
UID_H24_23_4_hem-3,1.21368
UID_H24_23_5_hem-6,1.11272
UID_H24_23_6_hem-7,1.09039
UID_H24_23_7_hem-4,1.21571
UID_H24_23_8_hem-5,1.07858
UID_H24_23_9_hem-3,1.05625
UID_H24_24_10_hem-9,1.35693
UID_H24_24_1_hem-2,1.05065
UID_H24_24_2_hem-4,1.07715
UID_H24_24_3_hem-6,1.13136
UID_H24_24_4_hem-7,1.46116
UID_H24_24_5_hem-21,0.514042
UID_H24_24_6_hem,0.924271
UID_H24_24_7_hem-2,1.19288
UID_H24_24_8_hem-4,0.967242
UID_H24_24_9_hem-8,1.13223
UID_H24_25_10_hem-2,1.27697
UID_H24_25_11_hem-3,1.78691
UID_H24_25_1_hem-11,1.03127
UID_H24_25_2_hem-2,1.09366
UID_H24_25_3_hem-5,1.12395
UID_H24_25_4_hem-2,1.26918
UID_H24_25_5_hem-22,1.04399
UID_H24_25_6_hem-3,1.05017
UID_H24_25_7_hem-5,1.10224
UID_H24_25_8_hem,1.0522
UID_H24_25_9_hem-2,1.16504
UID_H24_26_1_hem-5,1.04519
UID_H24_26_2_hem-3,1.42581
UID_H24_26_3_hem-7,0.935149
UID_H24_26_4_hem-8,1.32864
UID_H24_26_5_hem-2,1.29481
UID_H24_27_10_hem-2,1.19126
UID_H24_27_11_hem-3,1.127
UID_H24_27_1_hem-2,1.44345
UID_H24_27_2_hem-17,1.01149
UID_H24_27_3_hem-4,1.16932
UID_H24_27_4_hem-5,1.12297
UID_H24_27_5_hem-8,1.4292
UID_H24_27_6_hem-9,1.13584
UID_H24_27_7_hem-2,1.07034
UID_H24_27_8_hem-18,1.04486
UID_H24_27_9_hem-10,1.0843
UID_H24_28_10_hem-6,1.34342
UID_H24_28_11_hem-2,1.07547
UID_H24_28_12_hem-2,1.10626
UID_H24_28_13_hem-7,1.09982
UID_H24_28_14_hem-11,1.1924
UID_H24_28_15_hem-5,1.08322
UID_H24_28_16_hem-14,0.989618
UID_H24_28_17_hem-7,1.23918
UID_H24_28_1_hem-2,2.02064
UID_H24_28_2_hem-6,0.998272
UID_H24_28_3_hem-13,1.22321
UID_H24_28_4_hem-2,1.04017
UID_H24_28_5_hem-3,1.91452
UID_H24_28_6_hem-2,1.1309
UID_H24_28_7_hem-2,1.64037
UID_H24_28_8_hem-9,0.974462
UID_H24_28_9_hem-2,1.16005
UID_H24_29_10_hem-6,1.34757
UID_H24_29_11_hem-8,1.21229
UID_H24_29_12_hem-6,1.49278
UID_H24_29_1_hem-2,1.27988
UID_H24_29_2_hem-4,1.11765
UID_H24_29_3_hem-2,1.15376
UID_H24_29_4_hem-3,0.92628
UID_H24_29_5_hem,0.73586
UID_H24_29_6_hem-3,0.860876
UID_H24_29_7_hem-15,1.04109
UID_H24_29_8_hem-2,1.07174
UID_H24_29_9_hem-6,1.14416
UID_H24_2_10_hem-6,1.01416
UID_H24_2_11_hem-9,1.24563
UID_H24_2_12_hem-2,1.25343
UID_H24_2_1_hem-8,1.1937
UID_H24_2_2_hem-5,0.997767
UID_H24_2_3_hem-12,1.0405
UID_H24_2_4_hem-12,1.27671
UID_H24_2_5_hem-8,1.27016
UID_H24_2_6_hem-3,1.26472
UID_H24_2_7_hem-5,1.05391
UID_H24_2_8_hem-6,2.03598
UID_H24_2_9_hem-9,1.10548
UID_H24_30_10_hem-11,1.07434
UID_H24_30_11_hem,0.933297
UID_H24_30_12_hem-6,1.15173
UID_H24_30_13_hem-8,1.08347
UID_H24_30_14_hem-4,1.15566
UID_H24_30_15_hem-13,1.11486
UID_H24_30_1_hem-9,1.14053
UID_H24_30_2_hem-3,1.48315
UID_H24_30_3_hem-10,1.08101
UID_H24_30_4_hem-10,1.42425
UID_H24_30_5_hem-4,1.10765
UID_H24_30_6_hem-5,1.39298
UID_H24_30_7_hem-5,1.11965
UID_H24_30_8_hem-3,1.09944
UID_H24_30_9_hem-3,1.192
UID_H24_31_10_hem,1.36749
UID_H24_31_11_hem-7,1.11758
UID_H24_31_12_hem-3,1.09857
UID_H24_31_13_hem-2,1.20395
UID_H24_31_14_hem-12,1.07803
UID_H24_31_1_hem-4,1.342
UID_H24_31_2_hem-2,1.03531
UID_H24_31_3_hem-3,1.47077
UID_H24_31_4_hem-3,0.933043
UID_H24_31_5_hem-7,1.44739
UID_H24_31_6_hem-5,1.11938
UID_H24_31_7_hem-6,1.39089
UID_H24_31_8_hem-16,1.20299
UID_H24_31_9_hem-23,1.22922
UID_H24_32_10_hem-2,1.17888
UID_H24_32_11_hem-14,1.2853
UID_H24_32_12_hem-10,0.991097
UID_H24_32_13_hem-4,1.19953
UID_H24_32_1_hem-10,1.13395
UID_H24_32_2_hem-2,1.23367
UID_H24_32_3_hem-10,1.04619
UID_H24_32_4_hem-4,1.49049
UID_H24_32_5_hem-7,1.20941
UID_H24_32_6_hem-2,1.27874
UID_H24_32_7_hem-5,1.03547
UID_H24_32_8_hem-5,1.05109
UID_H24_32_9_hem-4,1.13824
UID_H24_33_10_hem-3,1.17877
UID_H24_33_11_hem-2,1.06688
UID_H24_33_12_hem-2,1.03823
UID_H24_33_13_hem-10,1.22429
UID_H24_33_14_hem-16,1.28478
UID_H24_33_15_hem-11,1.09067
UID_H24_33_1_hem-8,1.00949
UID_H24_33_2_hem-5,1.06946
UID_H24_33_3_hem-8,1.13811
UID_H24_33_4_hem-4,1.22921
UID_H24_33_5_hem-7,1.46596
UID_H24_33_6_hem-5,1.2851
UID_H24_33_7_hem-3,1.02487
UID_H24_33_8_hem-12,1.84424
UID_H24_33_9_hem-7,1.48316
UID_H24_34_10_hem-4,1.05496
UID_H24_34_11_hem-2,1.168
UID_H24_34_12_hem-13,0.810574
UID_H24_34_1_hem-10,1.08144
UID_H24_34_2_hem-9,1.09251
UID_H24_34_3_hem-2,1.08017
UID_H24_34_4_hem-12,1.33014
UID_H24_34_5_hem-10,1.08282
UID_H24_34_6_hem-15,1.14282
UID_H24_34_7_hem-23,1.03727
UID_H24_34_8_hem,1.36396
UID_H24_34_9_hem-6,1.60647
UID_H24_35_1_hem-14,1.04691
UID_H24_35_2_hem-10,1.0961
UID_H24_35_3_hem-23,1.10059
UID_H24_35_4_hem-7,1.14113
UID_H24_35_5_hem-11,1.15961
UID_H24_35_6_hem-2,1.22153
UID_H24_35_7_hem-5,1.74086
UID_H24_35_8_hem-5,1.14315
UID_H24_35_9_hem-7,1.25848
UID_H24_36_10_hem-5,1.16417
UID_H24_36_1_hem-5,1.05955
UID_H24_36_2_hem-2,1.12683
UID_H24_36_3_hem-8,1.0512
UID_H24_36_4_hem-3,1.06442
UID_H24_36_5_hem-7,1.05011
UID_H24_36_6_hem-12,1.09333
UID_H24_36_7_hem-5,1.19666
UID_H24_36_8_hem-2,1.15129
UID_H24_36_9_hem-7,1.12709
UID_H24_3_10_hem-9,1.0056
UID_H24_3_11_hem-6,1.38346
UID_H24_3_12_hem-4,1.08229
UID_H24_3_13_hem-5,1.09648
UID_H24_3_14_hem-4,1.02494
UID_H24_3_15_hem-3,1.05247
UID_H24_3_1_hem-7,1.00456
UID_H24_3_2_hem-5,1.21561
UID_H24_3_3_hem-8,1.27966
UID_H24_3_4_hem-8,1.03845
UID_H24_3_5_hem-6,1.2748
UID_H24_3_6_hem-8,1.04976
UID_H24_3_7_hem-6,1.05861
UID_H24_3_8_hem-9,1.09747
UID_H24_3_9_hem-4,1.55277
UID_H24_4_1_hem-11,1.12869
UID_H24_4_2_hem-5,1.11901
UID_H24_4_3_hem-5,1.35395
UID_H24_4_4_hem-10,0.94128
UID_H24_4_5_hem-7,1.46627
UID_H24_4_6_hem-8,1.22478
UID_H24_4_7_hem-6,1.05144
UID_H24_4_8_hem-7,1.05608
UID_H24_5_1_hem-5,1.09381
UID_H24_5_2_hem-6,1.18767
UID_H24_5_3_hem-7,1.07457
UID_H24_5_4_hem-2,1.00182
UID_H24_5_5_hem-8,0.953428
UID_H24_5_6_hem-3,1.17115
UID_H24_5_7_hem-4,1.23527
UID_H24_5_8_hem-6,1.6055
UID_H24_5_9_hem-3,0.970189
UID_H24_6_10_hem-11,1.30216
UID_H24_6_11_hem-9,1.15293
UID_H24_6_12_hem-2,1.04888
UID_H24_6_1_hem-3,1.25509
UID_H24_6_2_hem-5,1.05832
UID_H24_6_3_hem-8,1.1133
UID_H24_6_4_hem-6,1.0619
UID_H24_6_5_hem-5,1.54162
UID_H24_6_6_hem-2,1.2716
UID_H24_6_7_hem-4,1.03257
UID_H24_6_8_hem-5,1.01261
UID_H24_6_9_hem-4,1.02805
UID_H24_7_1_hem-11,0.979586
UID_H24_7_2_hem-7,1.06961
UID_H24_7_3_hem-7,1.22337
UID_H24_7_4_hem-10,1.11212
UID_H24_7_5_hem-13,1.16213
UID_H24_7_6_hem-5,1.23926
UID_H24_7_7_hem-16,0.947695
UID_H24_8_1_hem-4,1.1038
UID_H24_8_2_hem-4,1.03191
UID_H24_8_3_hem-7,1.0466
UID_H24_8_4_hem-2,1.04177
UID_H24_8_5_hem-4,1.15793
UID_H24_8_6_hem-2,1.10217
UID_H24_8_7_hem-3,1.13461
UID_H24_8_8_hem-5,1.19037
UID_H24_8_9_hem-5,1.15069
UID_H24_9_1_hem-9,1.08238
UID_H24_9_2_hem-7,1.23943
UID_H24_9_3_hem-19,1.08236
UID_H24_9_4_hem-3,1.23747
UID_H6_10_1_hem-23,1.23445
UID_H6_10_2_hem-3,1.14271
UID_H6_11_1_hem-23,1.13472
UID_H6_12_1_hem-26,1.08321
UID_H6_14_1_hem-29,1.30592
UID_H6_15_1_hem-11,1.2039
UID_H6_15_2_hem-15,1.22128
UID_H6_15_3_hem-7,1.14946
UID_H6_16_1_hem-8,1.05792
UID_H6_1_1_hem-18,1.12821
UID_H6_1_2_hem-20,1.1358
UID_H6_2_1_hem-22,1.1367
UID_H6_3_1_hem-24,1.25037
UID_H6_4_1_hem-19,1.21672
UID_H6_5_1_hem-23,1.17717
UID_H6_6_1_hem-18,1.13206
UID_H6_7_1_hem-32,1.0873
UID_H6_8_1_hem-23,1.38285
UID_H7_10_1_hem-6,1.33059
UID_H7_10_2_hem-7,1.11536
UID_H7_12_1_hem-5,1.16664
UID_H7_14_1_hem-3,1.36001
UID_H7_15_1_hem-18,1.21156
UID_H7_15_2_hem-5,1.47381
UID_H7_1_1_hem-14,1.12426
UID_H7_1_2_hem-18,1.54418
UID_H7_2_1_hem-10,1.16709
UID_H7_2_2_hem-15,1.25814
UID_H7_2_3_hem-7,1.05025
UID_H7_2_4_hem-17,1.40123
UID_H7_3_1_hem-5,1.21019
UID_H7_3_2_hem-12,1.10218
UID_H7_5_1_hem-6,1.34399
UID_H7_7_1_hem-9,1.03914
UID_H7_8_1_hem-5,1.05847
UID_H7_9_1_hem-2,1.0588
