Contour,Area,all2Model (normalized mode 1),all2Model (normalized mode 2)
UID_25_23_2_all-3,25616.7,0.0014438,-0.976761
UID_25_23_3_all-10,30335.8,0.259958,-0.717069
UID_25_23_4_all-18,32704.9,0.300873,-0.377025
UID_25_23_5_all-8,27324.8,0.150391,-1.06415
UID_25_23_6_all-8,25825.2,0.0711414,-1.16678
UID_25_24_1_all-15,25041,-0.131213,-0.66255
UID_25_24_2_all-21,27529.2,0.155444,-1.02123
UID_25_25_1_all-3,25843.2,0.0422904,-1.10406
UID_25_25_2_all-19,38303.6,0.26375,0.887966
UID_25_26_1_all-13,42169,-0.0669322,1.53658
UID_25_26_2_all-2,3093.81,-2.76474,0.903909
UID_25_26_3_all-14,2591.97,-1.89684,-0.553189
UID_25_26_4_all-18,7540.78,-2.71209,0.867829
UID_25_26_5_all-6,2916.59,-2.8144,1.01723
UID_25_26_6_all-19,32133.2,0.309168,-0.456481
UID_25_27_1_all-5,30269.6,0.16612,-0.402035
UID_25_28_1_all-13,38205.9,0.51481,0.111721
UID_25_29_1_all-4,34269.2,0.377285,-0.33627
UID_25_29_2_all-25,47039.4,0.845197,0.673496
UID_25_3_1_all-13,34674.7,0.445766,-0.388534
UID_25_3_2_all-7,5010.5,-2.82478,0.887297
UID_25_3_3_all-10,29856.2,0.236402,-0.751609
UID_25_3_4_all-13,34740.4,0.433181,-0.367586
UID_25_30_1_all-17,33610.7,0.306939,-0.275829
UID_25_30_2_all-18,33670,0.375753,-0.407609
UID_25_30_3_all-16,2053.58,-2.79976,1.58741
UID_25_30_4_all-13,3935.15,-2.74517,0.985703
UID_25_31_1_all-7,26606.7,0.0246192,-0.741553
UID_25_31_2_all-3,2725.55,-2.81461,1.02308
UID_25_31_3_all-11,4532.22,-2.6653,1.22774
UID_25_31_4_all-12,34996.8,0.410921,-0.159121
UID_25_32_1_all-4,30218.5,0.266415,-0.804078
UID_25_32_2_all-5,28566.8,0.191003,-0.881114
UID_25_32_3_all-3,27272.3,0.0873124,-0.888992
UID_25_33_1_all-8,36050.2,0.222976,0.269602
UID_25_33_2_all-2,4335.62,-2.62306,0.442228
UID_25_33_3_all-11,30214.2,0.286709,-0.806242
UID_25_33_4_all-8,35336.4,0.428496,-0.192053
UID_25_33_5_all-19,38250.9,0.547586,-0.0438509
UID_25_34_1_all-26,30348.7,0.21978,-0.620228
UID_25_34_2_all-22,6117.87,-2.24133,-0.960324
UID_25_34_3_all-19,30382.6,0.208475,-0.506845
UID_25_34_4_all-21,43440.6,0.77941,0.209664
UID_25_35_1_all-2,2067.43,-2.82747,0.792417
UID_25_35_2_all-24,30465.4,0.207355,-0.490653
UID_25_35_3_all-10,25434.3,0.0479743,-1.19405
UID_25_35_4_all-28,43306.9,0.770086,0.208587
UID_25_36_2_all-6,3246.08,-2.82504,0.444029
UID_25_36_3_all-3,26107.6,0.112302,-1.25298
UID_25_37_1_all-25,14772,-1.98554,-0.522567
UID_25_37_2_all-6,3689.56,-2.80525,0.472377
UID_25_37_3_all-12,32948.5,0.298019,-0.309422
UID_25_37_4_all-12,32151.2,0.262591,-0.401612
UID_25_4_1_all,2744.56,-2.74949,-0.0808262
UID_25_4_2_all-4,22872.7,-0.113483,-1.29697
UID_25_4_3_all-3,25445.1,-0.00440462,-1.07321
UID_25_4_4_all-9,34319.9,0.358195,-0.191785
UID_25_4_5_all-5,24914.5,-0.0334209,-0.957159
UID_25_4_6_all,3175.2,-2.60967,0.412904
UID_25_4_7_all-9,1713.53,-2.07623,-0.91027
UID_25_4_8_all-16,6147.78,-2.50928,1.38145
UID_25_5_1_all-6,27737,0.0134868,-0.532349
UID_25_5_10_all-2,2462.91,-2.67269,0.204268
UID_25_5_2_all-2,25031.5,-0.0512885,-0.880829
UID_25_5_3_all-8,26502.3,0.133864,-1.20122
UID_25_5_4_all-7,25864.4,0.0469248,-1.04184
UID_25_5_5_all-11,28271.6,0.152179,-0.871959
UID_25_5_6_all-8,25986,0.0562926,-1.12005
UID_25_5_7_all-6,26762,0.124651,-1.11999
UID_25_5_8_all-3,22611.7,-0.115712,-1.29179
UID_25_5_9_all-2,21632.9,-0.2007,-1.2921
UID_25_6_1_all-5,30801.5,0.261089,-0.696848
UID_25_6_2_all-8,25699.4,-0.214911,-0.0668325
UID_25_6_3_all-13,30271.7,0.190854,-0.625434
UID_25_6_4_all-4,26561.1,0.089662,-1.10017
UID_25_6_5_all-9,23962.8,0.0295807,-1.48623
UID_25_6_6_all-13,26417.8,0.117106,-1.1911
UID_25_6_7_all-7,27756.2,0.0172743,-0.539232
UID_25_6_8_all-30,42638.3,0.586139,0.75746
UID_25_7_1_all-5,25837.8,0.0730496,-1.2226
UID_25_7_2_all-30,38696,0.0619388,1.89345
UID_25_7_3_all-4,24841.4,-0.0137309,-1.20387
UID_25_7_4_all-2,20861.2,-0.25289,-1.2733
UID_25_7_5_all-10,27950.2,0.119235,-0.847652
UID_25_7_6_all-3,22837.2,-0.0790553,-1.42712
UID_25_7_7_all-21,27460.3,0.171672,-1.12188
UID_25_8_1_all-16,23548.1,-0.0324355,-1.41786
UID_25_8_2_all-3,19191.9,-0.294388,-1.69491
UID_25_8_3_all-23,25472,0.0611011,-1.27085
UID_25_8_4_all-21,39367.9,0.581405,0.121654
UID_25_8_5_all-2,19094.2,-0.254918,-1.88948
UID_25_9_1_all-7,27127.8,0.10178,-0.972263
UID_25_9_2_all-14,2668.55,-2.76078,0.136797
UID_25_9_3_all-17,5902.54,-2.70508,1.06067
UID_25_9_4_all-29,34243,0.449063,-0.5305
UID_25_9_5_all-6,23737.6,-0.0237159,-1.39854
UID_25_9_6_all-8,26436.5,0.000464129,-0.691956
UID_25_9_7_all-12,22864.5,-0.0955422,-1.32356
UID_27_1_1_all-17,27074,0.149749,-1.17535
UID_27_1_2_all-7,4340.39,-3.04764,0.0207633
UID_27_1_3_all-17,28121.1,0.163407,-0.978269
UID_27_1_4_all-3,20880.4,-0.238444,-1.3821
UID_27_1_5_all-16,28512.3,0.16357,-0.866874
UID_27_1_6_all-21,27086.1,0.118524,-0.996847
UID_27_1_7_all-3,25051.1,0.0671662,-1.35668
UID_27_1_8_all-14,22975.3,-0.0972051,-1.26482
UID_27_10_1_all-16,22460.9,-0.0518005,-1.61083
UID_27_10_2_all-5,24570.7,-0.0432979,-1.15087
UID_27_10_3_all-8,26074.6,-0.112334,-0.399793
UID_27_10_4_all-18,25632.6,0.0406436,-1.1081
UID_27_10_5_all-24,25323.3,-0.0257255,-0.879856
UID_27_10_6_all-13,23602.4,-0.049267,-1.35543
UID_27_10_7_all-5,24052.3,-0.0926918,-1.06555
UID_27_11_1_all-24,29357.9,0.20481,-0.796749
UID_27_12_1_all-2,19389,-0.242444,-1.80937
UID_27_12_2_all-16,28944.2,0.150461,-0.68174
UID_27_12_3_all-7,24584.8,-0.00548576,-1.26308
UID_27_13_1_all-16,33366.5,0.379617,-0.474539
UID_27_13_2_all-10,23869.3,-0.241256,-0.555185
UID_27_13_3_all-2,21605,-0.146282,-1.51255
UID_27_13_4_all-4,23128.3,-0.0801687,-1.38834
UID_27_13_5_all-3,21170.8,-0.152114,-1.58549
UID_27_14_1_all-13,37000.7,0.327439,0.652922
UID_27_14_2_all-19,27148.3,0.050073,-0.703749
UID_27_14_3_all-5,24827.9,-0.0250012,-1.09656
UID_27_14_4_all-5,23395.9,-0.0276529,-1.40562
UID_27_14_5_all-14,26763.6,0.115343,-1.06351
UID_27_14_6_all-7,24786.9,-0.0716,-0.871917
UID_27_14_7_all-21,40622.4,0.242279,1.22352
UID_27_14_8_all-2,21415.9,-0.1409,-1.62278
UID_27_15_1_all-27,43543,0.764898,0.265708
UID_27_15_2_all-18,29314,0.0368657,-0.303216
UID_27_15_3_all-18,37714.3,0.291129,0.844916
UID_27_16_1_all-16,29872.8,0.130438,-0.410814
UID_27_16_2_all-16,31907.8,0.295532,-0.49383
UID_27_16_3_all-22,25968.5,0.107823,-1.25777
UID_27_16_4_all-29,44431.5,0.824328,0.234697
UID_27_16_5_all-7,25114.9,0.028401,-1.16462
UID_27_16_6_all-15,28337.7,0.162159,-0.888185
UID_27_16_7_all-19,28124.6,0.202626,-1.05729
UID_27_16_8_all-27,24726.3,0.0292608,-1.27572
UID_27_17_1_all-14,25004.3,0.0388297,-1.23007
UID_27_17_2_all-16,34967.4,0.410015,-0.261858
UID_27_17_3_all-28,46826.4,0.89998,0.456343
UID_27_18_1_all-4,30191.6,0.23944,-0.696947
UID_27_18_2_all-7,27675.6,0.0421424,-0.558948
UID_27_18_3_all-31,48193.5,0.848713,0.817415
UID_27_19_1_all-2,23808.8,-0.0559823,-1.26241
UID_27_19_2_all-3,23612.2,-0.0411756,-1.29404
UID_27_19_3_all-4,24978.5,0.0421653,-1.30002
UID_27_19_4_all-26,38523.7,0.527625,0.0879805
UID_27_2_1_all-2,23055.6,-0.0454034,-1.4675
UID_27_2_2_all-9,25453.6,-0.0210193,-0.932431
UID_27_2_3_all-5,31312.2,0.249348,-0.470427
UID_27_2_4_all-18,36546.8,0.515662,-0.272462
UID_27_20_1_all-18,29787.8,0.267157,-0.901266
UID_27_20_2_all-7,26230.9,0.0769365,-1.08735
UID_27_20_3_all-5,25906.5,0.0825446,-1.19431
UID_27_21_1_all-18,28312.7,0.0838482,-0.726634
UID_27_21_2_all-6,22854.1,-0.256593,-0.847675
UID_27_21_3_all-22,25331.2,-0.0756535,-0.714899
UID_27_21_4_all-6,21952.2,-0.359372,-0.979123
UID_27_22_1_all-9,29641.9,0.00896625,-0.167618
UID_27_22_2_all-25,40802.1,0.581436,0.452471
UID_27_22_3_all-8,24189.7,-0.0260888,-1.21037
UID_27_22_4_all-10,22726.4,-0.0749103,-1.47513
UID_27_23_1_all-19,41430.1,0.604583,0.496703
UID_27_23_2_all-4,25268,0.0403103,-1.1654
UID_27_23_3_all-4,24569.9,-0.0102417,-1.17083
UID_27_24_1_all-3,29045.5,0.199493,-0.804975
UID_27_24_2_all-3,23716.2,-0.000944242,-1.44139
UID_27_24_3_all-22,38844.9,0.540025,0.0294638
UID_27_24_4_all-4,29190.6,0.000625054,-0.360538
UID_27_24_5_all-24,31878.4,0.190629,-0.18654
UID_27_25_1_all-2,25596.7,0.0267517,-1.08245
UID_27_25_2_all-17,28303.9,0.115577,-0.831919
UID_27_25_3_all-5,24501.9,-0.0741127,-0.911771
UID_27_25_4_all-7,24091.7,-0.104534,-1.03053
UID_27_25_5_all-10,28793.9,0.10114,-0.446706
UID_27_25_6_all-13,26213.2,0.0827357,-1.12643
UID_27_25_7_all-7,29526.3,0.0214176,-0.0915648
UID_27_26_1_all-10,26090.7,-0.0184301,-0.758164
UID_27_26_2_all-24,43944.2,0.632109,0.67251
UID_27_26_3_all-12,32841.6,0.355594,-0.506962
UID_27_26_4_all-16,27099.4,0.0740905,-0.81007
UID_27_27_1_all-2,1727.71,-2.7944,0.219361
UID_27_27_2_all-11,23073.6,-0.0624859,-1.35734
UID_27_27_3_all-25,28934.8,0.163087,-0.682663
UID_27_27_4_all-24,33449.4,0.350448,-0.308765
UID_27_27_5_all-10,25383.3,0.0225892,-1.03858
UID_27_28_1_all-17,30198.6,0.207667,-0.640647
UID_27_28_2_all-16,25575.6,0.0397842,-1.10903
UID_27_28_3_all-17,29368.6,0.171882,-0.578297
UID_27_28_4_all-7,24241.6,-0.0158162,-1.22374
UID_27_29_1_all-8,22455.1,-0.129712,-1.36825
UID_27_29_2_all-16,28653.4,0.133636,-0.705132
UID_27_29_3_all-7,23979.8,-0.0688349,-1.12324
UID_27_29_4_all-11,23857.9,-0.0976825,-0.98906
UID_27_29_5_all-23,22747.4,-0.0649526,-1.48796
UID_27_29_6_all-17,24524.2,0.023641,-1.30921
UID_27_29_7_all-8,26605,0.00721949,-0.741327
UID_27_3_1_all-4,4556.35,-3.10386,1.67891
UID_27_3_2_all-13,8769.61,-2.39853,0.947359
UID_27_3_3_all-14,30127.4,0.264447,-0.779767
UID_27_3_4_all-21,32722.8,0.269054,-0.125052
UID_27_3_5_all-19,29208.1,0.206633,-0.856382
UID_27_30_1_all-9,24509.2,-0.0405303,-1.14302
UID_27_30_2_all-20,31919.6,0.207919,-0.195538
UID_27_30_3_all-3,24935.1,0.0204569,-1.15696
UID_27_30_4_all-19,33883.3,0.364257,-0.313169
UID_27_30_5_all-17,25235.6,0.0563989,-1.29405
UID_27_31_1_all-19,9669.76,-2.91736,1.23354
UID_27_31_2_all-16,30530.8,0.268857,-0.743001
UID_27_31_3_all-13,24658.4,-0.0473107,-0.990345
UID_27_31_4_all-17,38172.2,0.464772,0.166776
UID_27_31_5_all-24,30369.7,0.290887,-0.825796
UID_27_31_6_all-13,3391.6,-2.27446,0.434867
UID_27_31_7_all-8,28879,0.214268,-0.872708
UID_27_32_1_all-12,25549.6,0.0282906,-1.15175
UID_27_32_2_all-29,36527.5,0.311752,0.46728
UID_27_32_3_all-22,28692.6,0.155038,-0.738199
UID_27_32_4_all-2,24184.8,-0.218271,-0.0788727
UID_27_32_5_all-11,24285.8,-0.00112537,-1.33075
UID_27_32_6_all-13,25056.2,0.0552513,-1.29446
UID_27_33_1_all-19,27629.5,0.141804,-1.0184
UID_27_33_2_all-34,46677.7,0.811021,0.731233
UID_27_33_3_all-9,28778,0.218797,-0.959458
UID_27_33_4_all-11,26790.9,0.0493169,-0.830042
UID_27_33_5_all-9,23136.4,-0.188899,-0.977537
UID_27_33_6_all-22,29856.8,0.141902,-0.419429
UID_27_34_1_all-5,27037.1,-0.030282,-0.539402
UID_27_34_2_all-3,30367,0.2722,-0.777889
UID_27_34_3_all-3,24851.5,0.0282066,-1.22523
UID_27_34_4_all-12,3376.09,-2.54662,0.439958
UID_27_34_5_all-31,37671.1,0.332219,0.254199
UID_27_34_6_all-2,22076.8,-0.118822,-1.46593
UID_27_34_7_all-9,5223.17,-2.61502,-0.0473756
UID_27_34_8_all-3,2290.2,-2.85254,-0.265254
UID_27_4_1_all-12,25505,0.0630887,-1.19993
UID_27_4_2_all-16,23957.3,0.00995358,-1.42073
UID_27_4_3_all-9,20180.9,-0.216618,-1.65088
UID_27_4_4_all-19,25327.2,-0.0102,-1.03044
UID_27_4_5_all-26,30056.9,0.268789,-0.853915
UID_27_4_6_all-5,21834.5,-0.0991983,-1.58383
UID_27_4_7_all-3,18053.7,-0.302301,-1.99202
UID_27_5_1_all-11,25936.8,-0.0271073,-0.860753
UID_27_5_2_all-2,2539.83,-2.67776,0.101398
UID_27_5_3_all-8,27612.1,0.103553,-0.820784
UID_27_5_4_all-19,27371.1,0.137887,-1.03259
UID_27_5_5_all-10,27724.7,0.203069,-1.1351
UID_27_5_6_all-6,23473.6,-0.038781,-1.33607
UID_27_5_7_all-6,49734.5,0.961876,0.77804
UID_27_5_8_all-3,22043.9,-0.0760515,-1.64857
UID_27_6_1_all-15,33048.3,0.2789,-0.10145
UID_27_6_2_all,1892.7,-2.79271,0.190027
UID_27_6_3_all-8,23925.6,-0.0891866,-1.13866
UID_27_6_4_all-12,33413.3,0.31624,-0.226223
UID_27_7_1_all-14,7694.63,-2.31194,-2.0721
UID_27_7_2_all-2,2921.93,-2.8248,-0.0604044
UID_27_7_3_all-4,20926.3,-0.176399,-1.61366
UID_27_7_4_all-40,33790.3,-0.136048,-0.00572101
UID_27_7_5_all-21,31625.2,0.233422,-0.336968
UID_27_7_6_all-12,24083.6,0.0139017,-1.41252
UID_27_8_1_all-4,22674.3,-0.0665762,-1.4749
UID_27_8_2_all-5,19056.9,-0.307478,-1.67932
UID_27_8_3_all-7,18763.2,-0.249569,-1.92827
UID_27_8_4_all-4,18873.9,-0.288626,-1.82967
UID_27_8_5_all-17,28899.6,0.0705929,-0.425122
UID_27_8_6_all-35,28471.8,0.121426,-0.743533
UID_27_8_7_all-23,27147,0.134289,-1.08535
UID_27_8_8_all-22,26895.8,-0.0226909,-0.425907
UID_27_9_1_all-7,27297,0.055665,-0.700027
UID_27_9_2_all-22,28807.3,0.19981,-0.8829
UID_27_9_3_all-23,24442.4,-0.156139,-0.80028
UID_27_9_4_all-5,20419.9,-0.181801,-1.71654
UID_27_9_5_all-21,34858.2,0.422138,-0.312833
UID_31_1_1_all-13,30291,0.192901,-0.511152
UID_31_1_2_all-26,48481.1,0.934129,0.603625
UID_31_10_1_all-7,35543.3,0.351147,0.0508457
UID_31_11_1_all-5,34826.6,0.0014793,0.280068
UID_31_11_2_all-8,33097,0.361224,-0.525873
UID_31_11_3_all-14,37401,0.388835,0.308243
UID_31_12_1_all-3,29822.4,0.207875,-0.674908
UID_31_12_2_all-2,31363.6,0.161545,-0.126906
UID_31_13_1_all-5,40161.8,0.547876,0.357571
UID_31_14_1_all-4,30543.2,0.139133,-0.249587
UID_31_14_2_all-9,33004.5,0.00254742,0.0896944
UID_31_14_3_all-14,31540,0.284429,-0.637173
UID_31_15_1_all-6,23859.3,-2.87581,0.617189
UID_31_15_2_all-6,40395.9,0.623222,0.0913171
UID_31_15_3_all-8,48362.6,0.792359,1.22747
UID_31_15_4_all-9,31768.2,0.271613,-0.459752
UID_31_16_1_all-4,34839.3,0.482654,-0.502496
UID_31_16_2_all-26,49694.5,0.591604,2.06017
UID_31_16_3_all-23,37831.2,0.541469,-0.125188
UID_31_16_4_all-4,32544.6,0.331339,-0.533763
UID_31_16_5_all-8,28523.2,-0.396052,-0.0562127
UID_31_17_1_all-7,32049,0.342117,-0.683474
UID_31_17_2_all-4,34183.1,0.327902,-0.098967
UID_31_18_1_all-9,26091.8,0.095615,-1.15466
UID_31_18_2_all-5,26181.5,0.0865161,-1.11337
UID_31_18_3_all-7,26858.1,0.137603,-1.14654
UID_31_18_4_all-3,31039.2,0.216856,-0.485261
UID_31_18_5_all-15,28820,0.108452,-0.552408
UID_31_19_1_all-5,41288.3,0.653489,0.20101
UID_31_19_2_all-12,36878.7,0.549079,-0.331387
UID_31_19_3_all-18,33591.2,0.342661,-0.251014
UID_31_19_4_all-5,39455.9,0.618017,-0.0229295
UID_31_19_5_all-15,39494.7,0.502373,0.35248
UID_31_2_1_all-3,45305.4,0.778871,0.647088
UID_31_2_2_all-2,35200.3,0.42533,-0.234878
UID_31_20_1_all-4,47890.1,0.0708872,2.21694
UID_31_20_2_all-4,33326.7,0.27621,-0.0561975
UID_31_20_3_all-5,27580,0.189373,-1.14121
UID_31_20_4_all-2,26671.3,0.0583133,-0.925206
UID_31_20_5_all-16,35843.7,0.438615,-0.156239
UID_31_20_6_all-3,45878.5,0.15281,2.82337
UID_31_21_1_all-4,36980.6,0.45524,0.00529683
UID_31_21_2_all-21,47195.2,0.828174,0.714618
UID_31_22_1_all-16,32583.6,0.273753,-0.243775
UID_31_22_2_all-14,48895,0.884736,0.794783
UID_31_22_3_all-16,48873.7,0.883451,0.79339
UID_31_22_4_all-11,27837.3,0.0496006,-0.544069
UID_31_23_1_all-11,40286.3,0.533233,0.430494
UID_31_23_2_all-9,34376.5,0.18395,0.453627
UID_31_23_3_all-24,49117.7,0.864469,1.12658
UID_31_23_4_all-17,33901.2,0.406093,-0.441825
UID_31_24_1_all-7,34940.6,0.377506,0.00217378
UID_31_24_2_all-5,42517.9,0.643312,0.317961
UID_31_24_3_all-5,35395.5,0.444577,-0.303823
UID_31_24_4_all-11,31569.3,0.257018,-0.331263
UID_31_24_5_all-15,38196.2,0.592112,-0.171456
UID_31_24_6_all-23,43524.7,0.773332,0.262947
UID_31_25_1_all-17,40837.8,0.422478,0.753011
UID_31_25_2_all-8,42150.8,0.670049,0.374741
UID_31_25_3_all-11,32811.8,0.315606,-0.413544
UID_31_26_1_all-5,31790.2,0.310063,-0.595864
UID_31_26_2_all-7,36884.7,0.534929,-0.240173
UID_31_27_1_all-17,16505.6,-1.38281,-0.600545
UID_31_27_2_all-8,34577.7,0.339572,-0.0131887
UID_31_27_3_all-8,41758.5,0.656306,0.354203
UID_31_28_1_all-13,25823.8,0.0881457,-1.23573
UID_31_29_1_all-24,31240.4,0.276984,-0.559711
UID_31_29_2_all-24,34245.1,0.273908,0.00695779
UID_31_29_3_all-16,31488.9,0.277731,-0.492112
UID_31_29_4_all-8,28165.3,-0.0249241,-0.0159442
UID_31_29_5_all-6,32117.3,0.176004,-0.122293
UID_31_29_6_all-11,28675.1,0.110318,-0.673996
UID_31_3_1_all-6,44519.1,0.734703,0.646349
UID_31_30_1_all-15,48741.1,0.586829,1.70201
UID_31_30_2_all-19,29364.2,-2.60665,1.48091
UID_31_30_3_all-17,32717.1,0.362065,-0.558968
UID_31_30_4_all-9,35772.4,0.378077,0.168452
UID_31_31_1_all-3,28145.3,0.130594,-0.79063
UID_31_31_2_all-12,33712.2,0.340495,-0.351276
UID_31_31_3_all-10,35329.8,0.441242,-0.24544
UID_31_31_4_all-7,31176.2,0.17705,-0.230914
UID_31_32_1_all-5,25112,-0.00468312,-1.05231
UID_31_32_2_all-11,31214.5,0.0961424,-0.309401
UID_31_32_3_all-17,40360.4,0.226941,1.83898
UID_31_32_4_all-7,46381.8,0.623578,1.23639
UID_31_32_5_all-6,1499.23,-1.69729,-4.78561
UID_31_34_1_all-4,23441.8,-0.0505384,-1.34178
UID_31_34_2_all-12,39987.4,0.498866,0.450074
UID_31_34_3_all-7,25999.2,0.102527,-1.22674
UID_31_34_4_all-8,26915.4,-0.000872057,-0.859909
UID_31_36_1_all-10,29792.7,0.118306,-0.447443
UID_31_36_2_all-10,34666,0.419718,-0.363571
UID_31_36_3_all-15,29633.1,0.190087,-0.648552
UID_31_36_4_all-9,43637.7,0.785738,0.229758
UID_31_37_1_all-18,31355.3,0.303576,-0.70207
UID_31_37_2_all-34,46766.8,0.900913,0.438627
UID_31_37_3_all-11,27639.9,0.0646716,-0.574225
UID_31_37_4_all-12,28658.5,0.177178,-0.838826
UID_31_38_1_all-29,45006,0.712116,0.75651
UID_31_38_2_all-14,48819,0.903489,0.749903
UID_31_4_1_all-21,40139.5,0.579238,0.211796
UID_31_5_1_all-5,30547,0.247958,-0.661015
UID_31_5_2_all-11,35465,0.355455,-0.112491
UID_31_5_3_all-3,33182.9,0.362012,-0.440913
UID_31_5_4_all-3,29414.4,0.130683,-0.457255
UID_31_6_1_all-11,23516.5,-1.59563,-0.518484
UID_31_8_1_all-3,35964.7,0.0121402,1.12202
UID_31_9_1_all-11,36919.3,0.398034,0.184525
UID_31_9_2_all-10,30937.3,-0.0429303,0.171964
UID_31_9_3_all-11,26961.7,0.0335426,-0.808628
UID_31_9_4_all-14,35168.1,0.396164,-0.254562
UID_36_1_1_all-21,26816.8,0.10414,-1.02596
UID_36_1_2_all-16,6797.53,-2.91901,1.01675
UID_36_1_3_all-25,34943.9,0.431743,-0.275298
UID_36_2_1_all-16,3917.1,-1.67476,-0.16121
UID_36_2_2_all-23,12255.9,-2.86834,1.06879
UID_36_3_1_all-23,35664.3,0.46798,-0.288955
UID_36_3_2_all-7,25862,0.0502165,-1.06723
UID_36_3_3_all-13,32801.5,0.344442,-0.475318
UID_36_3_4_all-7,15750.1,-2.29993,-0.909503
UID_36_3_5_all-5,7499.46,-2.52474,0.930818
UID_36_3_6_all-36,12530.9,-2.89276,0.575859
UID_36_3_7_all-35,37837,0.525506,-0.0767635
UID_36_3_8_all-39,46039,0.818311,0.572223
UID_36_3_9_all-10,33859.5,0.400969,-0.424586
UID_36_4_1_all-19,19135.3,-2.89632,-1.83612
UID_36_4_2_all-20,27094.8,0.152817,-1.14907
UID_36_4_3_all-35,21192.3,-3.01431,-0.942384
UID_36_5_1_all-25,40317,0.637852,0.0822173
UID_36_5_2_all-5,32515.2,-0.0572161,1.64633
UID_36_5_3_all-29,48187.6,0.894046,0.651161
UID_36_5_4_all-20,36199,0.514453,-0.340085
UID_36_5_5_all-23,30396.1,0.300682,-0.840133
UID_36_6_1_all-20,28893.4,0.137195,-0.70243
UID_36_6_2_all-31,46276.8,0.722821,0.845635
UID_36_6_3_all-22,24661.5,-2.46725,-0.146304
UID_36_6_4_all-21,33748.5,0.388045,-0.44469
UID_36_6_5_all-22,28471.7,0.185215,-0.895856
UID_36_6_6_all-14,23101,-1.3865,-0.866142
UID_36_7_1_all-20,29124.5,0.149497,-0.688631
UID_36_7_2_all-17,21979.9,-2.04292,-1.38518
UID_36_7_3_all-19,6963.87,-2.4523,0.82194
UID_36_7_4_all-28,28492.9,0.189552,-0.897896
UID_36_7_5_all-17,16077.8,-2.35418,2.1387
UID_36_7_6_all-11,23231.3,-1.27943,-0.868837
UID_36_7_7_all-7,5785.96,-2.69243,1.57438
UID_37_1_1_all-14,15684.2,-1.92552,2.25297
UID_37_1_10_all-13,25061.7,0.0512521,-1.28325
UID_37_1_11_all-32,34556.1,0.427822,-0.412335
UID_37_1_12_all-14,26859.7,-0.0307966,-0.550313
UID_37_1_13_all-29,39663.2,0.672309,-0.159942
UID_37_1_14_all-12,7087.04,-2.62464,1.0831
UID_37_1_15_all-6,1901.89,-2.62706,0.145263
UID_37_1_16_all-16,35443.4,0.461723,-0.314604
UID_37_1_17_all-12,22033.8,-0.101392,-1.52351
UID_37_1_18_all-17,4423.03,-2.75339,1.38555
UID_37_1_2_all-31,12890.2,-2.54192,1.35044
UID_37_1_3_all-36,43718.3,-0.381117,0.869033
UID_37_1_4_all-23,26587.9,0.111295,-1.09309
UID_37_1_5_all-21,35467.1,0.416744,-0.21718
UID_37_1_6_all-23,10104.6,-2.18126,0.294992
UID_37_1_7_all-14,6060.9,-2.36752,0.380405
UID_37_1_8_all-14,28314.4,0.202504,-1.03053
UID_37_1_9_all-27,33534.2,0.320608,-0.254718
UID_37_10_1_all-17,3927.15,-2.55026,2.39036
UID_37_10_2_all-33,45809.8,0.598922,1.3124
UID_37_10_3_all-19,36696.2,0.540538,-0.344173
UID_37_10_4_all-14,12903.5,-2.62962,0.611387
UID_37_10_5_all-18,34450,0.451586,-0.494366
UID_37_10_6_all-5,21019.1,-0.161563,-1.63008
UID_37_10_7_all-22,6145.93,-2.44285,1.50797
UID_37_11_1_all-4,21019.4,-2.41067,3.68387
UID_37_11_10_all-17,23908,-0.0138716,-1.33506
UID_37_11_11_all-12,33973.7,0.372915,-0.409476
UID_37_11_12_all-23,31809.8,0.282855,-0.496486
UID_37_11_13_all-13,21825.3,-0.0798959,-1.67668
UID_37_11_14_all-25,10896.4,-2.7114,1.5524
UID_37_11_15_all-18,24297.3,0.0154982,-1.36294
UID_37_11_16_all-13,21953.5,-0.0785508,-1.6465
UID_37_11_17_all-10,29643.3,0.247531,-0.852262
UID_37_11_18_all-23,36437.5,0.487482,-0.185952
UID_37_11_19_all-13,26708,0.142431,-1.1877
UID_37_11_2_all-15,9891.9,-2.01852,-0.341248
UID_37_11_3_all-12,6079.53,-2.75341,-0.0374478
UID_37_11_4_all-11,35047.3,0.463666,-0.382784
UID_37_11_5_all-28,39556.1,0.621914,-0.0243773
UID_37_11_6_all-18,37052.7,0.558113,-0.31415
UID_37_11_7_all-22,27706.6,0.170069,-1.01461
UID_37_11_8_all-16,8384.03,-2.95285,0.845442
UID_37_11_9_all-22,25310.8,0.0791086,-1.35013
UID_37_13_1_all-12,31004,0.228256,-0.54041
UID_37_13_2_all-15,16463.3,-2.31887,-1.05363
UID_37_14_1_all-26,38770.4,0.566324,0.00856953
UID_37_14_2_all-13,28449.9,0.216192,-1.02712
UID_37_14_3_all-26,29348.4,0.234108,-0.866855
UID_37_15_1_all-22,26564.9,0.0630043,-0.922557
UID_37_15_10_all-21,4938.87,-2.98729,1.84629
UID_37_15_11_all-5,28756.6,0.153639,-0.669712
UID_37_15_2_all-7,23139.4,-0.0647854,-1.36183
UID_37_15_3_all-11,27008.5,-0.0921744,-0.45146
UID_37_15_4_all-13,23896.1,-0.19158,-0.629201
UID_37_15_5_all-17,31711.4,0.329241,-0.62948
