Contour,Aspect Ratio,allModel (normalized mode 1),allModel (normalized mode 2)
UID_22_25_2_all-2,1.16683,-0.189071,-0.57096
UID_22_25_3_all-6,1.09358,-0.305157,-0.699257
UID_22_25_4_all-10,1.06988,2.63456,0.86548
UID_22_26_1_all-2,1.10234,-0.07698,-1.10808
UID_22_26_2_all-20,0.98002,1.39957,1.31163
UID_22_26_3_all-3,1.20301,-0.308556,-0.402028
UID_22_26_4_all-18,1.03909,-0.520577,0.0482781
UID_22_27_1_all-12,1.06798,-0.398292,-0.588773
UID_22_27_2_all-16,1.10413,-0.573349,-0.0844632
UID_22_27_3_all-20,1.05465,-0.313695,-0.77239
UID_22_27_4_all-20,1.11221,-0.467498,-0.233174
UID_22_28_1_all-10,1.03994,-0.509452,-0.396402
UID_22_28_2_all-14,1.07166,-0.382564,-0.604139
UID_22_29_1_all-2,1.0841,-0.402921,-0.565832
UID_22_29_2_all-7,1.10367,-0.663838,-0.0019265
UID_22_2_1_all-3,1.3166,-0.29585,-0.168556
UID_22_2_2_all-9,1.00618,-0.734029,0.103629
UID_22_30_1_all-8,1.11312,-0.457427,-0.309741
UID_22_30_2_all-9,1.06981,-0.57852,-0.192217
UID_22_31_1_all-2,1.30401,-0.194358,-0.538201
UID_22_31_2_all,1.10391,2.89215,2.07099
UID_22_31_3_all,1.02076,3.23741,1.58676
UID_22_32_1_all-4,1.09498,-0.559758,-0.0729475
UID_22_32_2_all-5,1.11526,-0.51677,-0.110472
UID_22_33_1_all-10,1.0397,-0.641957,-0.191151
UID_22_33_2_all-5,1.12955,3.22131,1.2125
UID_22_34_1_all-2,1.05388,-0.638802,-0.197915
UID_22_34_2_all-6,1.0679,-0.786932,0.27868
UID_22_35_1_all-2,1.23735,-0.203412,-0.466103
UID_22_35_2_all-11,1.11427,-0.376066,-0.208222
UID_22_35_3_all-6,1.05023,-0.646203,-0.137713
UID_22_35_4_all-5,1.19728,-0.713447,0.323844
UID_22_36_1_all,0.981873,3.22415,2.12577
UID_22_36_2_all-6,1.04889,-0.90502,0.34654
UID_22_37_1_all-2,1.43661,1.33083,-0.231437
UID_22_37_2_all-9,1.26727,3.07789,0.181388
UID_22_3_1_all-4,1.11138,-1.04343,0.912744
UID_22_4_1_all-15,1.02332,-0.27798,-0.859149
UID_22_4_2_all-3,1.14706,-0.135919,-0.971667
UID_22_4_3_all-9,1.0362,-0.723609,0.0311673
UID_22_5_1_all-2,1.54639,2.34252,1.11192
UID_22_6_1_all-14,1.07348,-0.607847,-0.0429686
UID_22_6_2_all-15,1.13405,2.5727,-0.191974
UID_22_6_3_all-10,1.10277,-0.395843,-0.455121
UID_22_7_1_all-3,1.16906,-0.194405,-0.549171
UID_22_7_2_all-7,1.06953,2.93123,0.337419
UID_22_7_3_all-9,1.047,-0.289334,-0.787968
UID_22_7_4_all-10,1.14895,-0.41436,-0.391931
UID_22_8_1_all-14,0.974378,3.0393,1.40423
UID_22_8_2_all-7,1.19215,-0.323346,-0.29514
UID_22_8_3_all-8,1.10177,-0.464597,-0.418777
UID_22_8_4_all-25,1.1429,-0.343269,-0.574702
UID_22_8_5_all-20,1.10142,-0.728958,0.332124
UID_22_9_1_all-14,1.4752,-0.549366,0.832294
UID_22_9_2_all-17,0.963376,2.7102,-0.044235
UID_22_9_3_all-6,1.19576,-0.341435,-0.42878
UID_26_10_1_all-3,1.36654,-0.256069,-0.189035
UID_26_10_2_all-9,1.23713,-0.701714,0.521739
UID_26_11_1_all-18,1.06211,-0.302929,-0.592878
UID_26_11_2_all-18,1.62385,-0.577518,1.22673
UID_26_12_1_all-2,1.36811,-0.162264,-0.434004
UID_26_13_1_all-35,1.17876,-0.62456,0.21229
UID_26_13_2_all-10,1.24317,-0.637825,0.283475
UID_26_13_3_all-2,1.14242,-0.0738421,-1.04586
UID_26_13_4_all-25,1.43323,-0.164759,-0.226687
UID_26_14_1_all-7,1.02541,3.44917,1.30737
UID_26_14_2_all-2,1.42402,2.49208,0.0156418
UID_26_14_3_all-4,1.11935,3.23574,2.05658
UID_26_14_4_all-7,1.30026,2.6825,1.19483
UID_26_15_1_all-4,1.09791,-0.248539,-0.092007
UID_26_16_1_all-19,1.12466,-0.360929,-0.453722
UID_26_16_2_all-22,1.04173,-0.497915,-0.416712
UID_26_16_3_all-11,0.977889,3.23524,0.867148
UID_26_17_1_all-31,1.11641,2.40658,1.3032
UID_26_17_2_all-12,1.11574,-0.338117,-0.566431
UID_26_17_3_all-22,1.12054,-0.354753,-0.497816
UID_26_18_1_all-13,1.13424,0.0482737,-0.990711
UID_26_18_2_all-20,1.07385,-0.0902737,-1.1158
UID_26_18_3_all-39,0.982118,-0.343036,0.114554
UID_26_18_4_all-16,1.20366,2.92809,-0.261106
UID_26_19_10_all-13,1.09741,-0.150331,-0.934377
UID_26_19_1_all-2,1.03961,0.221743,-1.80848
UID_26_19_2_all-25,1.26332,-0.095895,-0.334548
UID_26_19_3_all-13,1.09925,-0.149687,-0.805063
UID_26_19_4_all-17,1.12405,-0.0528751,-0.902759
UID_26_19_5_all-20,1.49044,0.0578522,-0.239438
UID_26_19_6_all-3,1.05328,0.0303358,-1.46803
UID_26_19_7_all-3,0.972239,2.84402,0.875018
UID_26_19_8_all-16,1.05171,-0.244348,-0.759615
UID_26_19_9_all-16,1.18843,-0.223745,-0.672272
UID_26_1_1_all-3,1.06923,0.282037,-1.80393
UID_26_1_2_all-2,1.08319,0.253861,-1.75295
UID_26_1_3_all-14,1.28921,0.201108,-0.753876
UID_26_20_1_all-21,1.23596,-0.345865,-0.323283
UID_26_20_2_all-6,1.0073,-0.103819,-1.26836
UID_26_20_3_all-5,1.08424,-0.16528,-0.972
UID_26_20_4_all-10,1.0291,-0.108022,-1.21706
UID_26_20_5_all-20,1.11239,-0.248158,-0.678829
UID_26_20_6_all-22,1.16374,-0.22279,-0.637716
UID_26_21_1_all-5,1.13757,-0.409043,-0.364431
UID_26_21_2_all-11,1.03388,2.78039,1.41917
UID_26_21_3_all-8,0.990214,3.21106,0.950496
UID_26_21_4_all-18,1.06634,-0.377694,-0.534936
UID_26_23_1_all-12,1.4013,-0.137528,2.65122
UID_26_24_1_all-22,1.18249,-0.626668,0.239501
UID_26_24_2_all-28,1.22967,-0.621183,0.218246
UID_26_24_3_all-10,1.16614,-0.0533033,-1.0664
UID_26_24_4_all-26,1.43218,-0.141181,-0.250095
UID_26_25_1_all-16,1.07199,-0.314153,-0.57605
UID_26_25_2_all-2,1.14868,-0.0936607,-0.928659
UID_26_25_3_all,1.03339,3.06596,0.491587
UID_26_25_4_all-3,1.61778,-0.591867,1.22674
UID_26_26_1_all-3,1.03591,0.0778938,-1.44973
UID_26_26_2_all-11,1.36979,-0.0590677,-0.709385
UID_26_27_1_all-4,1.38321,-0.273922,-0.201393
UID_26_27_2_all-3,1.09506,-0.192991,-0.810208
UID_26_27_3_all-19,1.25443,-0.703882,0.568719
UID_26_28_1_all-6,1.17465,-0.521656,0.250997
UID_26_28_2_all-3,1.09304,-0.275923,-0.648575
UID_26_29_1_all-4,1.06442,-0.31126,-0.648805
UID_26_2_1_all-5,1.21289,0.309159,-1.68429
UID_26_2_2_all-14,1.12672,0.127419,-1.12851
UID_26_2_3_all-16,1.41886,0.294678,-0.43848
UID_26_30_1_all-3,1.14908,0.00371672,-1.11721
UID_26_30_2_all-11,1.19248,-0.00423137,-1.0917
UID_26_30_3_all-12,1.1455,-0.0430219,-1.01232
UID_26_30_4_all-7,1.09451,-0.00500147,-1.09491
UID_26_30_5_all-8,1.07138,-0.0732969,-0.906383
UID_26_30_6_all-8,1.33317,0.0123815,-0.412727
UID_26_30_7_all-14,1.197,-0.180482,-0.658292
UID_26_30_8_all-15,1.16679,-0.26034,-0.520886
UID_26_31_1_all-8,1.09371,-0.252901,-0.731884
UID_26_31_2_all-8,1.02911,-0.0446908,-1.25628
UID_26_31_3_all-14,1.03896,-0.137939,-1.06611
UID_26_31_4_all-15,1.18707,-0.263167,-0.463075
UID_26_31_5_all-25,1.47428,-0.3619,0.747324
UID_26_32_1_all-32,1.28261,-0.910817,1.16272
UID_26_32_2_all-12,2.68301,2.16741,-2.4764
UID_26_32_3_all-14,1.10942,-0.0904318,-1.15111
UID_26_32_4_all-11,1.01023,3.21805,-0.0641684
UID_26_32_5_all-3,1.31991,-0.314936,0.562167
UID_26_32_6_all-16,0.98076,-0.273877,-0.936444
UID_26_32_7_all-25,1.03115,-0.209395,-1.07951
UID_26_33_1_all-4,1.05749,-0.0200478,-1.1716
UID_26_33_2_all-6,1.18856,-0.286366,-0.357179
UID_26_34_1_all-4,1.08371,-0.133181,-1.13316
UID_26_34_2_all-17,1.27364,-0.5439,0.148005
UID_26_34_3_all-12,1.04639,-0.114085,-1.0981
UID_26_35_1_all-10,1.20998,-0.169748,-0.620643
UID_26_35_2_all-17,1.15011,-0.265377,-0.666049
UID_26_35_3_all-18,1.1749,-0.123926,-0.816851
UID_26_35_4_all-12,1.15429,-0.0456071,-0.987857
UID_26_35_5_all-28,1.09451,-0.236242,-0.876218
UID_26_36_1_all-12,1.01636,-0.162691,-1.07626
UID_26_36_2_all,1.01925,3.19981,0.373542
UID_26_36_3_all-11,1.08328,-0.193716,-0.729123
UID_26_36_4_all-26,1.19966,-0.127705,-0.871467
UID_26_36_5_all-3,1.0232,-0.0879397,-1.23993
UID_26_3_1_all-3,1.27285,0.172225,-1.27204
UID_26_3_2_all-2,1.43822,0.459648,-1.49629
UID_26_3_3_all-4,1.40945,-0.127289,0.0354354
UID_26_3_4_all-2,1.5401,0.351836,-1.02343
UID_26_3_5_all-5,1.53039,0.265613,-0.843212
UID_26_3_6_all-5,1.2327,0.125263,-0.921507
UID_26_4_1_all-17,1.04325,-0.546652,-0.246955
UID_26_4_2_all-20,1.21573,-0.40674,-0.209757
UID_26_4_3_all-8,1.10825,-0.168869,-1.00859
UID_26_4_4_all-8,1.30858,-0.00875915,0.0567589
UID_26_4_5_all-2,0.82684,3.16329,0.28054
UID_26_4_6_all-10,1.13425,-0.0424733,-0.807949
UID_26_4_7_all-23,1.42095,-0.236218,-0.0426882
UID_26_4_8_all-27,1.19396,-0.454771,0.174625
UID_26_4_9_all-3,1.18196,0.0559327,-1.12278
UID_26_5_1_all-17,1.04073,-0.527129,-0.303409
UID_26_5_2_all-3,1.10347,-0.110796,-1.04025
UID_26_5_3_all-8,1.30109,-0.288092,0.300477
UID_26_5_4_all-3,1.18225,-0.0711445,-0.933625
UID_26_5_5_all-7,1.12168,-0.41489,-0.471263
UID_26_5_6_all-10,1.1356,-0.319723,-0.567617
UID_26_6_1_all-3,1.73666,0.0497431,1.94868
UID_26_6_2_all-3,0.942831,3.20003,0.185489
UID_26_6_3_all-2,1.15404,0.00142414,-0.581984
UID_26_6_4_all,1.18414,2.83277,0.379239
UID_26_6_5_all-14,1.41121,-0.232476,-0.0233093
UID_26_6_6_all-19,1.14187,-0.540863,-0.128289
UID_26_6_7_all-6,1.10171,-0.0709819,-0.52471
UID_26_6_8_all-33,1.11219,-0.754282,1.05603
UID_26_6_9_all-20,1.12161,-0.394797,-0.434776
UID_26_7_1_all-17,1.04249,-0.566224,-0.225231
UID_26_7_2_all-9,1.30027,-0.199027,0.481331
UID_26_7_3_all-4,0.986652,3.2729,0.564049
UID_26_8_1_all-18,1.29698,1.96464,-0.734942
UID_26_8_2_all-7,1.21153,2.37536,1.22062
UID_26_8_3_all-22,1.20482,-0.814664,0.615455
UID_26_9_1_all-19,0.98422,3.43739,1.82006
UID_26_9_2_all-10,1.26444,0.140115,-0.947241
UID_26_9_3_all-21,0.937995,3.19563,1.11075
UID_26_9_4_all-24,1.25431,3.2689,1.00337
UID_28_10_1_all-29,1.39746,-0.326071,0.19909
UID_28_10_2_all-20,1.23833,-0.358549,-0.0519689
UID_28_10_3_all-24,1.06047,-0.347465,-0.360704
UID_28_10_4_all-7,1.15723,0.0411109,-1.22106
UID_28_10_5_all-19,1.2753,-0.0410225,-0.637803
UID_28_10_6_all-12,1.46921,0.144233,-0.673998
UID_28_10_7_all-3,1.25334,-0.0689787,-0.760268
UID_28_12_1_all-2,1.22652,0.183943,-1.30585
UID_28_13_1_all-6,1.39915,-0.0369616,-0.316292
UID_28_14_1_all-3,1.12092,0.170362,-1.50039
UID_28_15_1_all-18,1.38966,-0.26438,-0.13108
UID_28_15_2_all-16,1.25984,-0.35743,0.256049
UID_28_15_3_all-15,1.23897,-0.36041,-0.26811
UID_28_16_1_all-10,0.805918,3.26353,-0.454069
UID_28_17_1_all-19,1.34889,0.144152,-0.964859
UID_28_1_1_all-2,1.34579,0.335828,-1.56542
UID_28_1_2_all-8,1.39807,0.0485842,-0.381671
UID_28_20_1_all-2,1.33732,-0.00858251,-0.289391
UID_28_20_2_all-19,1.29566,-0.896742,1.13927
UID_28_21_1_all-21,1.12017,-0.84202,0.537527
UID_28_21_2_all-2,1.01143,-0.0732154,-0.981733
UID_28_23_1_all-3,1.41444,-0.385814,0.667911
UID_28_23_2_all-18,1.33581,-0.110522,0.484625
UID_28_23_3_all-18,1.1967,-0.62936,0.288307
UID_28_24_1_all-17,1.05255,-0.368293,-0.553854
UID_28_24_2_all-3,1.29411,-0.133619,-0.12785
UID_28_25_1_all-17,1.29735,-0.368146,-0.0649205
UID_28_25_2_all-48,1.43448,-0.362175,0.209565
UID_28_27_1_all-2,1.30041,-0.043788,-0.322621
UID_28_27_2_all-9,1.07558,-0.232919,-0.711605
UID_28_28_1_all-5,1.09244,-0.407533,-0.187812
UID_28_28_2_all-7,1.33573,-0.260621,-0.0736776
UID_28_29_1_all-3,1.63207,0.0584814,-0.0617809
UID_28_29_2_all-2,1.09702,-0.149231,-0.824765
UID_28_29_3_all-17,1.18808,-0.259149,-0.159236
UID_28_29_4_all-5,1.08387,-0.235183,-0.866196
UID_28_2_1_all-16,1.4976,-0.328016,0.290782
UID_28_2_2_all-2,1.02724,0.0622705,-1.56365
UID_28_2_3_all-5,1.18825,-0.04925,-0.79868
UID_28_2_4_all-20,1.15034,-0.292186,-0.603594
UID_28_2_5_all-14,0.994958,-0.108029,-1.18253
UID_28_2_6_all-19,1.13817,-0.214367,-0.795022
UID_28_30_1_all-30,1.15707,-0.494277,0.0977118
UID_28_31_1_all-7,1.07678,-0.648182,-0.0386943
UID_28_31_2_all-18,1.14727,-0.172627,-0.703005
UID_28_31_3_all-5,1.15437,-0.348962,-0.385421
UID_28_32_1_all-4,1.14705,-0.106669,-1.07174
UID_28_32_2_all-3,1.17354,-0.15137,-0.677124
UID_28_33_1_all-2,1.3438,0.159106,-0.823763
UID_28_33_2_all-7,1.40641,-0.125883,-0.197036
UID_28_33_3_all-2,1.29324,0.0634396,-1.00471
UID_28_34_1_all-3,1.20215,-0.145752,-0.47145
UID_28_34_2_all-4,0.696315,3.47075,0.0979934
UID_28_34_3_all-2,1.15194,-0.122066,-0.829005
UID_28_34_4_all-15,1.28454,2.74243,-0.381548
UID_28_34_5_all-8,1.10873,-0.206344,-0.796661
UID_28_35_1_all-6,1.27496,-0.480556,0.387344
UID_28_36_1_all-7,1.45612,-0.273845,0.465403
UID_28_37_1_all-2,1.29011,-0.987775,1.24971
UID_28_37_2_all-4,1.82023,-0.315583,1.34575
UID_28_38_1_all-23,1.10599,-0.548442,-0.10537
UID_28_3_1_all-4,1.18969,0.101408,-0.787995
UID_28_3_2_all-6,1.11727,0.100943,-1.38222
UID_28_3_3_all-11,1.03904,-0.14148,-1.13906
UID_28_3_4_all-19,1.0484,-0.283758,-0.589098
UID_28_4_1_all-5,1.26479,0.171155,-0.854439
UID_28_4_2_all-6,1.37942,-0.0717025,-0.354046
UID_28_4_3_all-2,1.13869,3.05233,0.270329
UID_28_4_4_all-16,1.04749,1.36254,-2.94683
UID_28_4_5_all-16,1.03664,-0.527124,-0.305417
UID_28_4_6_all-4,1.1703,-0.0240213,-1.06935
UID_28_5_1_all-5,0.980241,3.27254,-0.0665148
UID_28_5_2_all-13,0.911876,3.14633,0.454455
UID_28_5_3_all-10,0.944341,2.73811,-0.272487
UID_28_5_4_all-5,1.0683,3.1174,0.376028
UID_28_5_5_all-11,1.09427,2.95789,0.0454537
UID_28_5_6_all-6,1.50048,2.97249,-0.0261054
UID_28_5_7_all-27,0.997641,-0.183741,-1.05566
UID_28_6_1_all-7,1.10586,-0.186657,-0.282647
UID_28_6_2_all-2,1.17012,0.190943,-1.20914
UID_28_6_3_all-22,1.41328,0.0209043,-0.513519
UID_28_6_4_all-10,1.02501,-0.050438,-1.05396
UID_28_7_1_all-5,1.04944,0.128201,-1.51042
UID_28_7_2_all-24,1.06746,-0.566984,0.0849903
UID_28_7_3_all-10,1.10819,0.103945,-1.26964
UID_28_7_4_all-12,1.05972,-0.0250779,-0.793887
UID_28_8_1_all-29,1.11298,-0.701699,0.309737
UID_28_8_2_all-9,1.17487,0.0250629,-1.13389
UID_28_8_3_all-23,1.60584,-0.107167,-0.157076
UID_28_9_1_all-21,1.05905,-1.08382,0.77115
UID_28_9_2_all-8,1.19095,-0.186254,-0.499512
UID_28_9_3_all-13,1.07869,-0.579822,0.0183295
UID_35_10_1_all-22,1.02956,-0.196375,-0.604843
UID_35_10_2_all-30,1.05917,-0.741681,0.0131496
UID_35_10_3_all-28,1.01233,2.58819,-0.47865
UID_35_10_4_all-9,1.29875,2.56283,0.669721
UID_35_10_5_all-9,0.909245,3.32378,1.33148
UID_35_10_6_all-21,1.17111,-0.529148,-0.0161344
UID_35_10_7_all-23,1.06191,-0.566289,-0.230621
UID_35_11_10_all-13,1.00989,-0.0235816,-1.4668
UID_35_11_1_all-23,1.44563,-0.31416,1.99205
UID_35_11_2_all-13,1.08535,-0.440788,-0.497953
UID_35_11_3_all-7,1.0303,-0.301796,-0.839071
UID_35_11_4_all-13,1.10945,-0.331914,-0.606637
UID_35_11_5_all-14,1.10536,-0.0933176,-1.148
UID_35_11_6_all-24,1.06536,-0.0672952,-0.685826
UID_35_11_7_all-18,1.13622,-0.181992,-0.840964
UID_35_11_8_all-33,1.10895,-0.833914,0.694407
UID_35_11_9_all-26,1.13376,-0.613472,0.0242485
UID_35_12_10_all-25,1.13019,-0.631224,0.0594413
UID_35_12_11_all-12,1.01594,-0.0397977,-1.43442
UID_35_12_1_all-11,1.03109,0.0625619,-1.54619
UID_35_12_2_all-20,1.01229,-0.43024,-0.429884
UID_35_12_3_all-18,1.03235,-0.305367,-0.816461
UID_35_12_4_all-27,1.10606,-0.341895,-0.598908
UID_35_12_5_all-14,1.09343,-0.104063,-1.13588
UID_35_12_6_all-16,1.40568,0.0410888,2.39092
UID_35_12_7_all-19,1.05292,-0.0397993,-0.64627
UID_35_12_8_all-22,1.14105,-0.189232,-0.810993
UID_35_12_9_all-26,1.12895,-0.849625,0.769828
UID_35_13_1_all-28,1.00513,-0.810466,0.508449
UID_35_13_2_all-22,1.07568,2.94232,0.421842
UID_35_13_3_all-30,1.01043,-0.749649,-0.0343606
UID_35_13_4_all-20,1.25157,-0.488423,0.183162
UID_35_13_5_all-8,1.05844,-0.144789,-1.06129
UID_35_13_6_all-21,1.0575,2.00418,-1.35873
UID_35_13_7_all-30,1.09822,-0.859707,0.665403
UID_35_13_8_all-22,1.10067,-0.315651,0.866828
UID_35_13_9_all-21,1.0835,-0.717014,0.0112803
UID_35_14_10_all-8,1.11017,-0.409359,-0.502481
UID_35_14_11_all-19,1.20515,2.11501,-0.256838
UID_35_14_12_all-16,1.1375,-0.12408,-0.910886
UID_35_14_13_all-16,1.13147,-0.235206,-0.707897
UID_35_14_14_all-8,1.22288,2.71385,-0.433174
UID_35_14_15_all-15,1.27107,-0.0209536,-0.959421
UID_35_14_16_all-15,1.37525,-0.0554543,-0.0945062
UID_35_14_1_all-25,1.21061,-0.0459728,-0.367967
UID_35_14_2_all-15,1.02135,2.45151,-0.25525
UID_35_14_3_all-35,1.05776,-0.332704,-0.735796
UID_35_14_4_all-24,1.22132,-0.524566,0.000656172
UID_35_14_5_all-17,1.0849,0.0780533,-1.46862
UID_35_14_6_all-12,0.950064,1.36985,-0.856733
UID_35_14_7_all-11,1.356,0.0492768,-0.697954
UID_35_14_8_all-19,1.17489,-0.502244,0.133633
UID_35_14_9_all-11,1.13558,2.37437,-0.467991
UID_35_15_10_all-8,1.13305,-0.00187058,-1.21188
UID_35_15_11_all-13,1.25896,-0.0231018,-0.838647
UID_35_15_12_all-13,1.08483,-0.454016,-0.472541
UID_35_15_13_all-17,1.04695,-0.393359,-0.545301
UID_35_15_1_all-10,1.99427,-0.128016,1.20319
UID_35_15_2_all-11,1.1803,-0.43242,0.0223566
UID_35_15_3_all-17,1.05516,-0.711014,0.076338
UID_35_15_4_all-13,0.90709,2.66326,-2.87899
UID_35_15_5_all-12,1.0813,0.103688,-1.61171
UID_35_15_6_all-19,1.21964,-0.747338,1.22496
UID_35_15_7_all-16,1.16182,-0.659352,0.15053
UID_35_15_8_all-19,0.951006,3.41421,1.57536
UID_35_15_9_all-16,1.06188,-0.406995,-0.227592
UID_35_16_10_all-10,0.993859,2.18181,-2.50574
UID_35_16_11_all-17,1.2443,-0.0246658,-0.868747
UID_35_16_12_all-18,1.04368,-0.394833,-0.564585
UID_35_16_1_all-15,0.94701,3.06529,1.98056
UID_35_16_2_all-10,1.98962,-0.0946976,1.18924
UID_35_16_3_all-16,1.1892,-0.424796,0.0345347
UID_35_16_4_all-19,1.05557,-0.707667,0.0686668
UID_35_16_5_all-9,0.967687,2.70101,-1.24618
UID_35_16_6_all-22,0.969877,2.45779,1.07809
UID_35_16_7_all-22,1.16998,-0.653138,0.147679
UID_35_16_8_all-11,1.06424,-0.608753,-0.0839001
UID_35_16_9_all-18,1.07128,-0.388271,-0.209261
UID_35_1_1_all-21,1.03741,-0.213495,-0.601399
UID_35_1_2_all-26,1.06299,-0.752213,0.0214394
UID_35_1_3_all-23,0.995112,2.53531,-1.19574
UID_35_1_4_all-10,1.1601,2.66619,0.823964
UID_35_1_5_all-17,0.904252,3.28278,1.30724
UID_35_1_6_all-20,1.16833,-0.513301,-0.0151173
UID_35_1_7_all-18,1.06835,-0.556145,-0.276122
UID_35_2_1_all-22,1.16897,-0.00871059,-0.915344
UID_35_2_2_all-15,1.10416,0.0583356,-1.33169
UID_35_2_3_all-18,1.08067,-0.74317,0.136259
UID_35_2_4_all-15,1.15072,-0.0266942,-1.16054
UID_35_2_5_all-25,1.06796,-0.830897,0.2493
UID_35_2_6_all-18,2.6802,2.0723,-1.57156
UID_35_2_7_all-8,1.17687,-0.00678593,-1.07677
UID_35_3_10_all-14,1.16798,-0.785739,1.31088
UID_35_3_1_all-13,1.09471,-0.176227,-0.853989
UID_35_3_2_all-15,1.84206,0.490039,3.16803
UID_35_3_3_all-12,1.12482,0.0899416,-1.36457
UID_35_3_4_all-9,1.1327,-0.000271711,-1.0206
UID_35_3_5_all-17,1.06683,-0.0493445,-1.24858
UID_35_3_6_all-14,1.11845,-0.44838,-0.418528
UID_35_3_7_all-16,1.08561,-0.128455,-0.92545
UID_35_3_8_all-5,1.09317,-0.350267,-0.591976
UID_35_3_9_all-16,1.08851,-0.472322,-0.387625
UID_35_4_1_all-12,1.15106,0.176424,-1.56045
UID_35_4_2_all-26,1.21635,-0.365654,-0.204336
UID_35_4_3_all-22,1.1185,-0.613629,0.0641368
UID_35_4_4_all-26,1.07134,-0.682433,-0.0131621
UID_35_4_5_all-14,1.13841,-0.49272,-0.131509
UID_35_4_6_all-15,1.03227,-0.47021,-0.355082
UID_35_5_1_all-20,1.08067,-0.31672,-0.708329
UID_35_5_2_all-22,1.08817,-0.597225,-0.16159
UID_35_5_3_all-28,1.59734,-0.120589,2.81407
UID_35_5_4_all-10,1.29592,-0.0311903,-0.52441
UID_35_5_5_all-10,1.10408,-0.151152,-0.934166
UID_35_5_6_all-23,1.06423,-0.83068,0.401872
UID_35_5_7_all-20,1.40552,-0.713363,0.859688
UID_35_5_8_all-3,1.08879,-0.329394,-0.711477
UID_35_6_1_all-13,1.01021,0.0125226,-1.06169
UID_35_6_2_all-4,1.17066,-0.70456,0.582999
UID_35_6_3_all-11,1.07496,-0.579576,-0.161299
UID_35_6_4_all-20,1.17648,-0.633397,0.231212
UID_35_6_5_all-12,1.11525,0.272919,-1.83303
UID_35_6_6_all-22,1.13106,-0.286002,-0.629205
UID_35_6_7_all-19,1.09245,-0.554668,-0.182326
UID_35_6_8_all-32,1.15469,-0.805042,0.567289
UID_35_7_1_all-11,1.15654,-0.000114964,-0.93326
UID_35_7_2_all-13,1.1049,0.0584393,-1.32881
UID_35_7_3_all-23,1.07699,-0.738783,0.131967
UID_35_7_4_all-19,1.15435,-0.0229541,-1.18613
UID_35_7_5_all-16,1.14276,0.115811,-1.36385
UID_35_7_6_all-32,1.06063,-0.83067,0.253755
UID_35_7_7_all-27,2.82774,2.09927,-1.77211
UID_35_7_8_all-9,1.17516,-0.0031119,-1.07836
UID_35_8_10_all-22,1.09751,-0.460697,-0.37055
UID_35_8_11_all-18,1.15796,-0.839808,1.32503
UID_35_8_1_all-28,1.02846,-0.688434,-0.0734888
UID_35_8_2_all-14,1.09198,-0.180721,-0.83963
UID_35_8_3_all-17,1.86303,0.375621,3.08118
UID_35_8_4_all-11,1.13307,0.106486,-1.36872
UID_35_8_5_all-21,1.13262,-0.00275884,-1.01681
UID_35_8_6_all-21,1.07122,-0.0573747,-1.27977
UID_35_8_7_all-15,1.12158,-0.443577,-0.433309
UID_35_8_8_all-20,1.11096,-0.131587,-0.898553
UID_35_8_9_all-9,1.08668,-0.34321,-0.594739
UID_35_9_10_all-26,1.03956,-0.163712,-1.10684
UID_35_9_11_all-14,1.05892,0.0489064,-1.41097
UID_35_9_12_all-17,1.13191,0.00497068,-1.18691
UID_35_9_1_all-11,1.01622,0.0658645,-1.56771
UID_35_9_2_all-15,1.08076,0.01491,-1.27078
UID_35_9_3_all-19,1.09035,-0.748048,0.160728
UID_35_9_4_all-17,1.17636,2.00323,-5.25036
UID_35_9_5_all-20,1.07903,0.0748,-1.42069
UID_35_9_6_all-19,1.10719,0.122638,-1.45555
UID_35_9_7_all-14,1.14084,0.0345149,-1.20776
UID_35_9_8_all-12,1.06048,-0.00438493,-1.38821
UID_35_9_9_all-9,1.08975,0.105256,-1.32384
UID_3_1_1_all-17,1.10753,-0.802343,1.17666
UID_3_1_2_all-16,1.2873,-0.720729,1.83118
UID_3_2_1_all-8,1.10854,2.36164,1.47494
UID_3_3_1_all-16,1.28155,-0.847511,0.999668
UID_3_3_2_all-9,2.88528,1.97791,-0.477339
UID_3_4_1_all-5,1.1836,2.34423,-0.388918
UID_3_4_2_all,1.09679,3.28338,2.52156
UID_3_4_3_all-17,1.44363,-0.576887,1.05684
UID_3_4_4_all-5,1.22008,-0.706933,0.560141
UID_3_4_5_all-18,1.50396,-0.545983,0.923045
UID_3_4_6_all-9,1.65235,-0.468058,1.57425
UID_43_10_1_all-13,1.07749,-0.331346,-0.491996
UID_43_10_2_all-7,1.11229,-0.240689,-0.367092
UID_43_10_3_all-25,1.09999,-0.924903,0.629231
UID_43_10_4_all-6,1.14495,-0.417813,0.796585
UID_43_10_5_all-10,1.01229,-0.302292,0.0608095
UID_43_11_1_all-21,1.07902,-0.387551,-0.544614
UID_43_11_2_all-32,1.10559,-0.585972,0.0855128
UID_43_11_3_all-19,1.11788,-0.785206,0.258431
UID_43_11_4_all-7,1.15105,-0.213713,-0.616153
UID_43_11_5_all-18,1.14163,-0.326674,-0.332778
UID_43_11_6_all-16,1.11735,-0.419645,0.02893
UID_43_12_1_all-2,1.04833,-0.546588,-0.11235
UID_43_12_2_all-3,0.779367,2.00898,-0.70412
UID_43_12_3_all-3,1.1779,-0.159909,-0.80747
UID_43_13_1_all-25,1.0442,-0.643691,0.151142
