Contour,Area,allModel (normalized mode 1),allModel (normalized mode 2)
UID_22_26_2_all-20,32530.3,1.39957,1.31163
UID_22_26_3_all-3,31751.1,-0.308556,-0.402028
UID_22_26_4_all-18,37161,-0.520577,0.0482781
UID_22_27_1_all-12,31940.5,-0.398292,-0.588773
UID_22_27_2_all-16,36775.8,-0.573349,-0.0844632
UID_22_27_3_all-20,30022,-0.313695,-0.77239
UID_22_27_4_all-20,34642.5,-0.467498,-0.233174
UID_22_28_1_all-10,34734.5,-0.509452,-0.396402
UID_22_28_2_all-14,31678.1,-0.382564,-0.604139
UID_22_29_1_all-2,32149,-0.402921,-0.565832
UID_22_29_2_all-7,38490.6,-0.663838,-0.0019265
UID_22_3_1_all-4,49698.8,-1.04343,0.912744
UID_22_30_1_all-8,34074.3,-0.457427,-0.309741
UID_22_30_2_all-9,36482.2,-0.57852,-0.192217
UID_22_31_1_all-2,29028,-0.194358,-0.538201
UID_22_31_2_all,4180.74,2.89215,2.07099
UID_22_31_3_all,3025.22,3.23741,1.58676
UID_22_32_1_all-4,36858.5,-0.559758,-0.0729475
UID_22_32_2_all-5,35773.5,-0.51677,-0.110472
UID_22_33_1_all-10,37415.9,-0.641957,-0.191151
UID_22_33_2_all-5,5684.35,3.22131,1.2125
UID_22_34_1_all-2,37236.7,-0.638802,-0.197915
UID_22_34_2_all-6,42234.8,-0.786932,0.27868
UID_22_35_1_all-2,29535.7,-0.203412,-0.466103
UID_22_35_2_all-11,34353.6,-0.376066,-0.208222
UID_22_35_3_all-6,37971.9,-0.646203,-0.137713
UID_22_35_4_all-5,40778.1,-0.713447,0.323844
UID_22_36_1_all,8131.46,3.22415,2.12577
UID_22_36_2_all-6,44357.8,-0.90502,0.34654
UID_22_37_1_all-2,12808.7,1.33083,-0.231437
UID_22_37_2_all-9,19417.4,3.07789,0.181388
UID_22_4_1_all-15,29310.3,-0.27798,-0.859149
UID_22_4_2_all-3,26793.4,-0.135919,-0.971667
UID_22_4_3_all-9,40056.2,-0.723609,0.0311673
UID_22_5_1_all-2,2992.68,2.34252,1.11192
UID_22_6_1_all-14,37629.5,-0.607847,-0.0429686
UID_22_6_2_all-15,8070.97,2.5727,-0.191974
UID_22_6_3_all-10,32595,-0.395843,-0.455121
UID_22_7_1_all-3,29609.9,-0.194405,-0.549171
UID_22_7_2_all-7,3829.2,2.93123,0.337419
UID_22_7_3_all-9,29777.9,-0.289334,-0.787968
UID_22_7_4_all-10,32999,-0.41436,-0.391931
UID_22_8_1_all-14,5531.54,3.0393,1.40423
UID_22_8_2_all-7,32261.3,-0.323346,-0.29514
UID_22_8_3_all-8,33650.7,-0.464597,-0.418777
UID_22_8_4_all-25,31197.9,-0.343269,-0.574702
UID_22_8_5_all-20,41505.7,-0.728958,0.332124
UID_22_9_1_all-14,39602.9,-0.549366,0.832294
UID_22_9_2_all-17,21754,2.7102,-0.044235
UID_22_9_3_all-6,31785.1,-0.341435,-0.42878
UID_26_1_1_all-3,18859.7,0.282037,-1.80393
UID_26_1_2_all-2,19278.8,0.253861,-1.75295
UID_26_1_3_all-14,23558.6,0.201108,-0.753876
UID_26_10_1_all-3,31178.6,-0.256069,-0.189035
UID_26_10_2_all-9,41382,-0.701714,0.521739
UID_26_11_1_all-18,30942.8,-0.302929,-0.592878
UID_26_11_2_all-18,41605.5,-0.577518,1.22673
UID_26_12_1_all-2,28962.9,-0.162264,-0.434004
UID_26_13_1_all-35,38681.1,-0.62456,0.21229
UID_26_13_2_all-10,39188,-0.637825,0.283475
UID_26_13_3_all-2,25706.8,-0.0738421,-1.04586
UID_26_13_4_all-25,29993.6,-0.164759,-0.226687
UID_26_14_1_all-7,3454.79,3.44917,1.30737
UID_26_14_2_all-2,2166.2,2.49208,0.0156418
UID_26_14_3_all-4,3492.36,3.23574,2.05658
UID_26_14_4_all-7,2766.17,2.6825,1.19483
UID_26_15_1_all-4,33650.7,-0.248539,-0.092007
UID_26_16_1_all-19,32161.8,-0.360929,-0.453722
UID_26_16_2_all-22,34269.1,-0.497915,-0.416712
UID_26_16_3_all-11,3775.83,3.23524,0.867148
UID_26_17_1_all-31,9781.67,2.40658,1.3032
UID_26_17_2_all-12,31267.1,-0.338117,-0.566431
UID_26_17_3_all-22,31890.4,-0.354753,-0.497816
UID_26_18_1_all-13,24516.7,0.0482737,-0.990711
UID_26_18_2_all-20,25723,-0.0902737,-1.1158
UID_26_18_3_all-39,36878.5,-0.343036,0.114554
UID_26_18_4_all-16,6934.53,2.92809,-0.261106
UID_26_19_1_all-2,19585.7,0.221743,-1.80848
UID_26_19_10_all-13,27315.7,-0.150331,-0.934377
UID_26_19_2_all-25,29181.6,-0.095895,-0.334548
UID_26_19_3_all-13,27836.6,-0.149687,-0.805063
UID_26_19_4_all-17,25911.9,-0.0528751,-0.902759
UID_26_19_5_all-20,26997.4,0.0578522,-0.239438
UID_26_19_6_all-3,22904.1,0.0303358,-1.46803
UID_26_19_7_all-3,4157.1,2.84402,0.875018
UID_26_19_8_all-16,29427.7,-0.244348,-0.759615
UID_26_19_9_all-16,29028.2,-0.223745,-0.672272
UID_26_2_1_all-5,18939.9,0.309159,-1.68429
UID_26_2_2_all-14,23225.4,0.127419,-1.12851
UID_26_2_3_all-16,22879.3,0.294678,-0.43848
UID_26_20_1_all-21,32187.2,-0.345865,-0.323283
UID_26_20_2_all-6,25339.7,-0.103819,-1.26836
UID_26_20_3_all-5,27304.6,-0.16528,-0.972
UID_26_20_4_all-10,25591.4,-0.108022,-1.21706
UID_26_20_5_all-20,29778.7,-0.248158,-0.678829
UID_26_20_6_all-22,29188.2,-0.22279,-0.637716
UID_26_21_1_all-5,33193,-0.409043,-0.364431
UID_26_21_2_all-11,5090.06,2.78039,1.41917
UID_26_21_3_all-8,3930.87,3.21106,0.950496
UID_26_21_4_all-18,32260.8,-0.377694,-0.534936
UID_26_23_1_all-12,43892.8,-0.137528,2.65122
UID_26_24_1_all-22,38852.4,-0.626668,0.239501
UID_26_24_2_all-28,38668.3,-0.621183,0.218246
UID_26_24_3_all-10,25358.8,-0.0533033,-1.0664
UID_26_24_4_all-26,29551.7,-0.141181,-0.250095
UID_26_25_1_all-16,31134.6,-0.314153,-0.57605
UID_26_25_2_all-2,26409.4,-0.0936607,-0.928659
UID_26_25_3_all,3674.78,3.06596,0.491587
UID_26_25_4_all-3,41822.1,-0.591867,1.22674
UID_26_26_1_all-3,22719.8,0.0778938,-1.44973
UID_26_26_2_all-11,26476.9,-0.0590677,-0.709385
UID_26_27_1_all-4,31343.4,-0.273922,-0.201393
UID_26_27_2_all-3,28452.6,-0.192991,-0.810208
UID_26_27_3_all-19,41581.3,-0.703882,0.568719
UID_26_28_1_all-6,37720.6,-0.521656,0.250997
UID_26_28_2_all-3,30204.3,-0.275923,-0.648575
UID_26_29_1_all-4,30675.5,-0.31126,-0.648805
UID_26_3_1_all-3,21498.3,0.172225,-1.27204
UID_26_3_2_all-2,17678.8,0.459648,-1.49629
UID_26_3_3_all-4,30337.2,-0.127289,0.0354354
UID_26_3_4_all-2,19883.2,0.351836,-1.02343
UID_26_3_5_all-5,21453.1,0.265613,-0.843212
UID_26_3_6_all-5,23817.8,0.125263,-0.921507
UID_26_30_1_all-3,24558.7,0.00371672,-1.11721
UID_26_30_2_all-11,24372.4,-0.00423137,-1.0917
UID_26_30_3_all-12,25484,-0.0430219,-1.01232
UID_26_30_4_all-7,25200.5,-0.00500147,-1.09491
UID_26_30_5_all-8,26509.9,-0.0732969,-0.906383
UID_26_30_6_all-8,27248.1,0.0123815,-0.412727
UID_26_30_7_all-14,28638.8,-0.180482,-0.658292
UID_26_30_8_all-15,30252.5,-0.26034,-0.520886
UID_26_31_1_all-8,29415.5,-0.252901,-0.731884
UID_26_31_2_all-8,24680,-0.0446908,-1.25628
UID_26_31_3_all-14,26562.8,-0.137939,-1.06611
UID_26_31_4_all-15,30514.7,-0.263167,-0.463075
UID_26_31_5_all-25,36615,-0.3619,0.747324
UID_26_32_1_all-32,48022.5,-0.910817,1.16272
UID_26_32_2_all-12,295.67,2.16741,-2.4764
UID_26_32_3_all-14,25510.6,-0.0904318,-1.15111
UID_26_32_4_all-11,3267.47,3.21805,-0.0641684
UID_26_32_5_all-3,36840.9,-0.314936,0.562167
UID_26_32_6_all-16,28901.1,-0.273877,-0.936444
UID_26_32_7_all-25,27418.8,-0.209395,-1.07951
UID_26_33_1_all-4,24812.3,-0.0200478,-1.1716
UID_26_33_2_all-6,31291.6,-0.286366,-0.357179
UID_26_34_1_all-4,26196.1,-0.133181,-1.13316
UID_26_34_2_all-17,37083.4,-0.5439,0.148005
UID_26_34_3_all-12,26124,-0.114085,-1.0981
UID_26_35_1_all-10,28609,-0.169748,-0.620643
UID_26_35_2_all-17,29725.4,-0.265377,-0.666049
UID_26_35_3_all-18,27237.7,-0.123926,-0.816851
UID_26_35_4_all-12,25588.6,-0.0456071,-0.987857
UID_26_35_5_all-28,28594.5,-0.236242,-0.876218
UID_26_36_1_all-12,27094.9,-0.162691,-1.07626
UID_26_36_2_all,2636.74,3.19981,0.373542
UID_26_36_3_all-11,28724.9,-0.193716,-0.729123
UID_26_36_4_all-26,27157.5,-0.127705,-0.871467
UID_26_36_5_all-3,25308.9,-0.0879397,-1.23993
UID_26_4_1_all-17,35932.5,-0.546652,-0.246955
UID_26_4_2_all-20,33721.3,-0.40674,-0.209757
UID_26_4_3_all-8,27134,-0.168869,-1.00859
UID_26_4_4_all-8,30893.2,-0.00875915,0.0567589
UID_26_4_5_all-2,2359.83,3.16329,0.28054
UID_26_4_6_all-10,26480,-0.0424733,-0.807949
UID_26_4_7_all-23,31286.8,-0.236218,-0.0426882
UID_26_4_8_all-27,36462.5,-0.454771,0.174625
UID_26_4_9_all-3,23946.5,0.0559327,-1.12278
UID_26_5_1_all-17,35409.4,-0.527129,-0.303409
UID_26_5_2_all-3,26338.9,-0.110796,-1.04025
UID_26_5_3_all-8,34473.2,-0.288092,0.300477
UID_26_5_4_all-3,26113.5,-0.0711445,-0.933625
UID_26_5_5_all-7,32758.9,-0.41489,-0.471263
UID_26_5_6_all-10,31025.3,-0.319723,-0.567617
UID_26_6_1_all-3,36600,0.0497431,1.94868
UID_26_6_2_all-3,2625.25,3.20003,0.185489
UID_26_6_3_all-2,27037.9,0.00142414,-0.581984
UID_26_6_4_all,3131.91,2.83277,0.379239
UID_26_6_5_all-14,31451.7,-0.232476,-0.0233093
UID_26_6_6_all-19,36230.3,-0.540863,-0.128289
UID_26_6_7_all-6,28197.2,-0.0709819,-0.52471
UID_26_6_8_all-33,46714.2,-0.754282,1.05603
UID_26_6_9_all-20,32627.7,-0.394797,-0.434776
UID_26_7_1_all-17,36319.4,-0.566224,-0.225231
UID_26_7_2_all-9,34657.9,-0.199027,0.481331
UID_26_7_3_all-4,4687.37,3.2729,0.564049
UID_26_8_1_all-18,11761.2,1.96464,-0.734942
UID_26_8_2_all-7,3631.28,2.37536,1.22062
UID_26_8_3_all-22,43635.1,-0.814664,0.615455
UID_26_9_1_all-19,3766.65,3.43739,1.82006
UID_26_9_2_all-10,23636,0.140115,-0.947241
UID_26_9_3_all-21,3983.9,3.19563,1.11075
UID_26_9_4_all-24,6156.83,3.2689,1.00337
UID_28_1_1_all-2,18899.2,0.335828,-1.56542
UID_28_1_2_all-8,26816.7,0.0485842,-0.381671
UID_28_10_1_all-29,33957.4,-0.326071,0.19909
UID_28_10_2_all-20,33916.3,-0.358549,-0.0519689
UID_28_10_3_all-24,32975.2,-0.347465,-0.360704
UID_28_10_4_all-7,23583,0.0411109,-1.22106
UID_28_10_5_all-19,26789.9,-0.0410225,-0.637803
UID_28_10_6_all-12,24307.2,0.144233,-0.673998
UID_28_10_7_all-3,26489.2,-0.0689787,-0.760268
UID_28_12_1_all-2,21690.6,0.183943,-1.30585
UID_28_13_1_all-6,27463.2,-0.0369616,-0.316292
UID_28_14_1_all-3,21076.8,0.170362,-1.50039
UID_28_15_1_all-18,31390.9,-0.26438,-0.13108
UID_28_15_2_all-16,34950.3,-0.35743,0.256049
UID_28_15_3_all-15,32568.5,-0.36041,-0.26811
UID_28_16_1_all-10,9804.52,3.26353,-0.454069
UID_28_17_1_all-19,23090.2,0.144152,-0.964859
UID_28_2_1_all-16,34000.5,-0.328016,0.290782
UID_28_2_2_all-2,22233.5,0.0622705,-1.56365
UID_28_2_3_all-5,26449.9,-0.04925,-0.79868
UID_28_2_4_all-20,30291.3,-0.292186,-0.603594
UID_28_2_5_all-14,25740,-0.108029,-1.18253
UID_28_2_6_all-19,28620.2,-0.214367,-0.795022
UID_28_20_1_all-2,27801.6,-0.00858251,-0.289391
UID_28_20_2_all-19,47602.2,-0.896742,1.13927
UID_28_21_1_all-21,44304.6,-0.84202,0.537527
UID_28_21_2_all-2,26320.9,-0.0732154,-0.981733
UID_28_23_1_all-3,37216.5,-0.385814,0.667911
UID_28_23_2_all-18,33951.9,-0.110522,0.484625
UID_28_23_3_all-18,39528.9,-0.62936,0.288307
UID_28_24_1_all-17,31944.4,-0.368293,-0.553854
UID_28_24_2_all-3,30233.1,-0.133619,-0.12785
UID_28_25_1_all-17,33610.9,-0.368146,-0.0649205
UID_28_25_2_all-48,34246.2,-0.362175,0.209565
UID_28_27_1_all-2,28545.4,-0.043788,-0.322621
UID_28_27_2_all-9,29484.8,-0.232919,-0.711605
UID_28_28_1_all-5,34107.8,-0.407533,-0.187812
UID_28_28_2_all-7,31811.9,-0.260621,-0.0736776
UID_28_29_1_all-3,27198.4,0.0584814,-0.0617809
UID_28_29_2_all-2,27745.6,-0.149231,-0.824765
UID_28_29_3_all-17,31736.9,-0.259149,-0.159236
UID_28_29_4_all-5,28500.6,-0.235183,-0.866196
UID_28_3_1_all-4,24879.2,0.101408,-0.787995
UID_28_3_2_all-6,22334.6,0.100943,-1.38222
UID_28_3_3_all-11,26288.7,-0.14148,-1.13906
UID_28_3_4_all-19,30695.1,-0.283758,-0.589098
UID_28_30_1_all-30,36596.9,-0.494277,0.0977118
UID_28_31_1_all-7,38276.9,-0.648182,-0.0386943
UID_28_31_2_all-18,28479.1,-0.172627,-0.703005
UID_28_31_3_all-5,32242.6,-0.348962,-0.385421
UID_28_32_1_all-4,25990.4,-0.106669,-1.07174
UID_28_32_2_all-3,28231,-0.15137,-0.677124
UID_28_33_1_all-2,23542.8,0.159106,-0.823763
UID_28_33_2_all-7,29397.5,-0.125883,-0.197036
UID_28_33_3_all-2,24012,0.0634396,-1.00471
UID_28_34_1_all-3,29259.4,-0.145752,-0.47145
UID_28_34_2_all-4,8204.48,3.47075,0.0979934
UID_28_34_3_all-2,27128.3,-0.122066,-0.829005
UID_28_34_4_all-15,17299.4,2.74243,-0.381548
UID_28_34_5_all-8,28612.7,-0.206344,-0.796661
UID_28_35_1_all-6,37439.7,-0.480556,0.387344
UID_28_36_1_all-7,34315.4,-0.273845,0.465403
UID_28_37_1_all-2,49732.7,-0.987775,1.24971
UID_28_37_2_all-4,37337.5,-0.315583,1.34575
UID_28_38_1_all-23,36366.6,-0.548442,-0.10537
UID_28_4_1_all-5,23538,0.171155,-0.854439
UID_28_4_2_all-6,28332,-0.0717025,-0.354046
UID_28_4_3_all-2,2504,3.05233,0.270329
UID_28_4_4_all-16,7792.34,1.36254,-2.94683
UID_28_4_5_all-16,35405.8,-0.527124,-0.305417
UID_28_4_6_all-4,24947.4,-0.0240213,-1.06935
UID_28_5_1_all-5,2389.59,3.27254,-0.0665148
UID_28_5_2_all-13,2930.83,3.14633,0.454455
UID_28_5_3_all-10,4082.53,2.73811,-0.272487
UID_28_5_4_all-5,2916.55,3.1174,0.376028
UID_28_5_5_all-11,3180.35,2.95789,0.0454537
UID_28_5_6_all-6,4517.34,2.97249,-0.0261054
UID_28_5_7_all-27,27381.1,-0.183741,-1.05566
UID_28_6_1_all-7,30657,-0.186657,-0.282647
UID_28_6_2_all-2,21887.6,0.190943,-1.20914
UID_28_6_3_all-22,26400,0.0209043,-0.513519
UID_28_6_4_all-10,25605.5,-0.050438,-1.05396
UID_28_7_1_all-5,21780.9,0.128201,-1.51042
UID_28_7_2_all-24,38018.8,-0.566984,0.0849903
UID_28_7_3_all-10,22813.6,0.103945,-1.26964
UID_28_7_4_all-12,26946.9,-0.0250779,-0.793887
UID_28_8_1_all-29,40882.9,-0.701699,0.309737
UID_28_8_2_all-9,24214.7,0.0250629,-1.13389
UID_28_8_3_all-23,28875.6,-0.107167,-0.157076
UID_28_9_1_all-21,49836,-1.08382,0.77115
UID_28_9_2_all-8,29493.9,-0.186254,-0.499512
UID_28_9_3_all-13,37702,-0.579822,0.0183295
UID_3_1_1_all-17,47872.3,-0.802343,1.17666
UID_3_1_2_all-16,48879.2,-0.720729,1.83118
UID_3_2_1_all-8,11344.9,2.36164,1.47494
UID_3_3_1_all-16,46031.4,-0.847511,0.999668
UID_3_3_2_all-9,794.33,1.97791,-0.477339
UID_3_4_1_all-5,13528.6,2.34423,-0.388918
UID_3_4_2_all,7745.5,3.28338,2.52156
UID_3_4_3_all-17,41836.6,-0.576887,1.05684
UID_3_4_4_all-5,41700.7,-0.706933,0.560141
UID_3_4_5_all-18,39618.7,-0.545983,0.923045
UID_3_4_6_all-9,41805.9,-0.468058,1.57425
UID_35_1_1_all-21,30334.8,-0.213495,-0.601399
UID_35_1_2_all-26,40003.9,-0.752213,0.0214394
UID_35_1_3_all-23,21786.3,2.53531,-1.19574
UID_35_1_4_all-10,2248.89,2.66619,0.823964
UID_35_1_5_all-17,6757.3,3.28278,1.30724
UID_35_1_6_all-20,35904.5,-0.513301,-0.0151173
UID_35_1_7_all-18,35671.5,-0.556145,-0.276122
UID_35_10_1_all-22,30231.3,-0.196375,-0.604843
UID_35_10_2_all-30,39781,-0.741681,0.0131496
UID_35_10_3_all-28,24292.3,2.58819,-0.47865
UID_35_10_4_all-9,2060.47,2.56283,0.669721
UID_35_10_5_all-9,5565.32,3.32378,1.33148
UID_35_10_6_all-21,36153.1,-0.529148,-0.0161344
UID_35_10_7_all-23,36047.6,-0.566289,-0.230621
UID_35_11_1_all-23,43763.9,-0.31416,1.99205
UID_35_11_10_all-13,23633.5,-0.0235816,-1.4668
UID_35_11_2_all-13,33175.1,-0.440788,-0.497953
UID_35_11_3_all-7,29738.3,-0.301796,-0.839071
UID_35_11_4_all-13,30997.2,-0.331914,-0.606637
UID_35_11_5_all-14,25556.1,-0.0933176,-1.148
UID_35_11_6_all-24,28239.4,-0.0672952,-0.685826
UID_35_11_7_all-18,27826,-0.181992,-0.840964
UID_35_11_8_all-33,44741.5,-0.833914,0.694407
UID_35_11_9_all-26,37918.8,-0.613472,0.0242485
UID_35_12_1_all-11,22346.5,0.0625619,-1.54619
UID_35_12_10_all-25,38366.3,-0.631224,0.0594413
UID_35_12_11_all-12,23918.6,-0.0397977,-1.43442
UID_35_12_2_all-20,33537.7,-0.43024,-0.429884
UID_35_12_3_all-18,29902.5,-0.305367,-0.816461
UID_35_12_4_all-27,31197.3,-0.341895,-0.598908
UID_35_12_5_all-14,25739.5,-0.104063,-1.13588
UID_35_12_6_all-16,43466.8,0.0410888,2.39092
UID_35_12_7_all-19,28548.6,-0.0397993,-0.64627
UID_35_12_8_all-22,28067.2,-0.189232,-0.810993
UID_35_12_9_all-26,45377.9,-0.849625,0.769828
UID_35_13_1_all-28,44794.8,-0.810466,0.508449
UID_35_13_2_all-22,11221.7,2.94232,0.421842
UID_35_13_3_all-30,39909.8,-0.749649,-0.0343606
UID_35_13_4_all-20,36459,-0.488423,0.183162
UID_35_13_5_all-8,26703.6,-0.144789,-1.06129
UID_35_13_6_all-21,20659.9,2.00418,-1.35873
UID_35_13_7_all-30,45389.5,-0.859707,0.665403
UID_35_13_8_all-22,38747,-0.315651,0.866828
UID_35_13_9_all-21,39509.8,-0.717014,0.0112803
UID_35_14_1_all-25,29811.5,-0.0459728,-0.367967
UID_35_14_10_all-8,32478.2,-0.409359,-0.502481
UID_35_14_11_all-19,19382.5,2.11501,-0.256838
UID_35_14_12_all-16,26907.1,-0.12408,-0.910886
UID_35_14_13_all-16,29185.4,-0.235206,-0.707897
UID_35_14_14_all-8,3775.66,2.71385,-0.433174
UID_35_14_15_all-15,25099.9,-0.0209536,-0.959421
UID_35_14_16_all-15,28803.1,-0.0554543,-0.0945062
UID_35_14_2_all-15,7761.37,2.45151,-0.25525
UID_35_14_3_all-35,30497.3,-0.332704,-0.735796
UID_35_14_4_all-24,36234.8,-0.524566,0.000656172
UID_35_14_5_all-17,22353.8,0.0780533,-1.46862
UID_35_14_6_all-12,21309.4,1.36985,-0.856733
UID_35_14_7_all-11,25437,0.0492768,-0.697954
UID_35_14_8_all-19,36611.5,-0.502244,0.133633
UID_35_14_9_all-11,15564.3,2.37437,-0.467991
UID_35_15_1_all-10,34866.2,-0.128016,1.20319
UID_35_15_10_all-8,24156.9,-0.00187058,-1.21188
UID_35_15_11_all-13,25842.2,-0.0231018,-0.838647
UID_35_15_12_all-13,33164.4,-0.454016,-0.472541
UID_35_15_13_all-17,32325.1,-0.393359,-0.545301
UID_35_15_2_all-11,35292.2,-0.43242,0.0223566
UID_35_15_3_all-17,39874.8,-0.711014,0.076338
UID_35_15_4_all-13,9760.83,2.66326,-2.87899
UID_35_15_5_all-12,21505.6,0.103688,-1.61171
UID_35_15_6_all-19,46194.4,-0.747338,1.22496
UID_35_15_7_all-16,39017,-0.659352,0.15053
UID_35_15_8_all-19,6321.54,3.41421,1.57536
UID_35_15_9_all-16,34270.6,-0.406995,-0.227592
UID_35_16_1_all-15,9068.47,3.06529,1.98056
UID_35_16_10_all-10,9180.54,2.18181,-2.50574
UID_35_16_11_all-17,25757.3,-0.0246658,-0.868747
UID_35_16_12_all-18,32260.2,-0.394833,-0.564585
UID_35_16_2_all-10,34685.4,-0.0946976,1.18924
UID_35_16_3_all-16,35252.2,-0.424796,0.0345347
UID_35_16_4_all-19,39797.8,-0.707667,0.0686668
UID_35_16_5_all-9,6606.98,2.70101,-1.24618
UID_35_16_6_all-22,16370.4,2.45779,1.07809
UID_35_16_7_all-22,38934.6,-0.653138,0.147679
UID_35_16_8_all-11,37437.2,-0.608753,-0.0839001
UID_35_16_9_all-18,34205.3,-0.388271,-0.209261
UID_35_2_1_all-22,25666.3,-0.00871059,-0.915344
UID_35_2_2_all-15,23201.9,0.0583356,-1.33169
UID_35_2_3_all-18,40552.4,-0.74317,0.136259
UID_35_2_4_all-15,24610.9,-0.0266942,-1.16054
UID_35_2_5_all-25,42633.9,-0.830897,0.2493
UID_35_2_6_all-18,4048.31,2.0723,-1.57156
UID_35_2_7_all-8,24747.2,-0.00678593,-1.07677
UID_35_3_1_all-13,27969.5,-0.176227,-0.853989
UID_35_3_10_all-14,47708.3,-0.785739,1.31088
UID_35_3_2_all-15,40061.6,0.490039,3.16803
UID_35_3_3_all-12,22618.6,0.0899416,-1.36457
UID_35_3_4_all-9,24887.6,-0.000271711,-1.0206
UID_35_3_5_all-17,24778.6,-0.0493445,-1.24858
UID_35_3_6_all-14,33459.7,-0.44838,-0.418528
UID_35_3_7_all-16,27085.9,-0.128455,-0.92545
UID_35_3_8_all-5,31290,-0.350267,-0.591976
UID_35_3_9_all-16,33853.8,-0.472322,-0.387625
UID_35_4_1_all-12,20893.9,0.176424,-1.56045
UID_35_4_2_all-26,32887.3,-0.365654,-0.204336
UID_35_4_3_all-22,38046.5,-0.613629,0.0641368
UID_35_4_4_all-26,38818.4,-0.682433,-0.0131621
UID_35_4_5_all-14,35361,-0.49272,-0.131509
UID_35_4_6_all-15,34127.7,-0.47021,-0.355082
UID_35_5_1_all-20,30448.3,-0.31672,-0.708329
UID_35_5_2_all-22,36822.1,-0.597225,-0.16159
UID_35_5_3_all-28,45907.3,-0.120589,2.81407
UID_35_5_4_all-10,27369.5,-0.0311903,-0.52441
UID_35_5_5_all-10,27210.8,-0.151152,-0.934166
UID_35_5_6_all-23,43408.9,-0.83068,0.401872
UID_35_5_7_all-20,43594.3,-0.713363,0.859688
UID_35_5_8_all-3,30389.7,-0.329394,-0.711477
UID_35_6_1_all-13,25226.2,0.0125226,-1.06169
UID_35_6_2_all-4,42722.7,-0.70456,0.582999
UID_35_6_3_all-11,36537.4,-0.579576,-0.161299
UID_35_6_4_all-20,39032.5,-0.633397,0.231212
UID_35_6_5_all-12,18784.6,0.272919,-1.83303
UID_35_6_6_all-22,30246,-0.286002,-0.629205
UID_35_6_7_all-19,36073.3,-0.554668,-0.182326
UID_35_6_8_all-32,43373.4,-0.805042,0.567289
UID_35_7_1_all-11,25501,-0.000114964,-0.93326
UID_35_7_2_all-13,23201.9,0.0584393,-1.32881
UID_35_7_3_all-23,40458.7,-0.738783,0.131967
UID_35_7_4_all-19,24445.2,-0.0229541,-1.18613
UID_35_7_5_all-16,22251.8,0.115811,-1.36385
UID_35_7_6_all-32,42686.3,-0.83067,0.253755
UID_35_7_7_all-27,4118.62,2.09927,-1.77211
UID_35_7_8_all-9,24680.5,-0.0031119,-1.07836
UID_35_8_1_all-28,38795,-0.688434,-0.0734888
UID_35_8_10_all-22,33809.7,-0.460697,-0.37055
UID_35_8_11_all-18,48478.4,-0.839808,1.32503
UID_35_8_2_all-14,28081,-0.180721,-0.83963
UID_35_8_3_all-17,41859,0.375621,3.08118
UID_35_8_4_all-11,22445.5,0.106486,-1.36872
UID_35_8_5_all-21,24944.1,-0.00275884,-1.01681
UID_35_8_6_all-21,24710.5,-0.0573747,-1.27977
UID_35_8_7_all-15,33325,-0.443577,-0.433309
UID_35_8_8_all-20,27221.8,-0.131587,-0.898553
UID_35_8_9_all-9,31210.8,-0.34321,-0.594739
UID_35_9_1_all-11,22106.3,0.0658645,-1.56771
UID_35_9_10_all-26,26815.3,-0.163712,-1.10684
UID_35_9_11_all-14,22926,0.0489064,-1.41097
UID_35_9_12_all-17,24341.2,0.00497068,-1.18691
UID_35_9_2_all-15,23904.1,0.01491,-1.27078
UID_35_9_3_all-19,40684.9,-0.748048,0.160728
UID_35_9_4_all-17,752.31,2.00323,-5.25036
UID_35_9_5_all-20,22587.4,0.0748,-1.42069
UID_35_9_6_all-19,21795.4,0.122638,-1.45555
UID_35_9_7_all-14,23776.1,0.0345149,-1.20776
UID_35_9_8_all-12,23629,-0.00438493,-1.38821
UID_35_9_9_all-9,22705.3,0.105256,-1.32384
UID_4_1_1_all-12,34239.8,-0.196159,0.652481
UID_4_1_2_all-18,35239.5,-0.515727,-0.247138
UID_4_1_3_all-20,45974.6,-0.84496,0.821344
UID_4_11_1_all-21,45598.7,-0.73396,0.748565
UID_4_11_2_all-8,28029.8,-0.197165,-0.88178
UID_4_11_3_all-7,29183.7,-0.297034,-0.936863
UID_4_12_1_all-25,37608.7,-0.575045,0.00554821
UID_4_12_2_all-17,32500.9,-0.290119,-0.0191309
UID_4_13_1_all-11,28495.7,-0.158936,-0.633463
UID_4_13_2_all-30,31702.8,-0.349424,-0.469061
UID_4_13_3_all-28,41121.7,-0.582516,0.85458
UID_4_14_1_all-33,36683.2,-0.531198,-0.10981
UID_4_14_2_all-2,2673.61,3.16015,1.69067
UID_4_15_1_all-3,33342.5,-0.459447,-0.486423
UID_4_15_2_all-9,28652.7,-0.172106,-0.626439
UID_4_15_3_all-14,28172.6,-0.149286,-0.582199
UID_4_15_4_all-10,23297.4,0.103333,-1.17793
UID_4_15_5_all-21,38977.9,-0.666239,0.0661921
UID_4_15_6_all-6,28877.7,-0.0299647,0.186073
UID_4_16_1_all-27,37785.8,-0.575828,0.0968846
UID_4_16_2_all-15,32897,-0.255126,0.0760973
UID_4_17_1_all-8,26596.7,-0.151614,-1.07121
UID_4_17_2_all-6,5928.23,2.46353,-0.671698
UID_4_17_3_all-8,33915.2,-0.416724,-0.201516
